bron;bestand_id;value;label;kleur
landgebruiksbestand;niveau1;1;Ruigte en struweel;
landgebruiksbestand;niveau1;2;Loofbos;
landgebruiksbestand;niveau1;3;Populieren;
landgebruiksbestand;niveau1;4;Naaldbos;
landgebruiksbestand;niveau1;5;Alluviaal bos;
landgebruiksbestand;niveau1;6;Halfnatuurlijk grasland;
landgebruiksbestand;niveau1;7;Heide;
landgebruiksbestand;niveau1;8;Kustduin;
landgebruiksbestand;niveau1;9;Moeras;
landgebruiksbestand;niveau1;10;Slik en schorre;
landgebruiksbestand;niveau1;11;Akker;
landgebruiksbestand;niveau1;12;Niet geregistreerde landbouw;
landgebruiksbestand;niveau1;13;Hoogstam boomgaard;
landgebruiksbestand;niveau1;14;Laagstam boomgaard;
landgebruiksbestand;niveau1;15;Cultuurgrasland permanent;
landgebruiksbestand;niveau1;19;Gebouw;
landgebruiksbestand;niveau1;20;Overig laag groen;
landgebruiksbestand;niveau1;21;Overig hoog groen;
landgebruiksbestand;niveau1;22;Weg;
landgebruiksbestand;niveau1;23;Spoorweg;
landgebruiksbestand;niveau1;24;Water;
landgebruiksbestand;niveau1;25;Overig;
landgebruiksbestand;niveau2;0;;
landgebruiksbestand;niveau2;1;Overige bebouwde percelen;
landgebruiksbestand;niveau2;2;Park;
landgebruiksbestand;niveau2;3;Kerkhof;
landgebruiksbestand;niveau2;4;Golfterrein;
landgebruiksbestand;niveau2;5;Zoo & attractiepark;
landgebruiksbestand;niveau2;6;Sportterreinen;
landgebruiksbestand;niveau2;7;Campings;
landgebruiksbestand;niveau2;8;Overige recreatie;
landgebruiksbestand;niveau2;9;Serres;
landgebruiksbestand;niveau2;10;Overige onbebouwde terreinen;
landgebruiksbestand;niveau2;11;Jachthavens;
landgebruiksbestand;niveau2;12;Residentieel;
landgebruiksbestand;niveau2;13;Petroleumraffinaderijen;
landgebruiksbestand;niveau2;14;Chemie;
landgebruiksbestand;niveau2;15;Elektriciteitsproductie;
landgebruiksbestand;niveau2;16;Metaalnijverheid;
landgebruiksbestand;niveau2;17;Afval en afvalwaterzuivering;
landgebruiksbestand;niveau2;18;Mijnbouw;
landgebruiksbestand;niveau2;19;Houtindustrie;
