definitief_punt,tellercode,status_claim,regio,stratum,sample_order,X,Y
VL0088,DDRT00,geclaimd,De Moeren,OL binnen plan,2,25613.383034802464,192130.29060104862
DM_173.12,JDSR01,geclaimd,De Moeren,OL binnen plan,3,28280.97351292917,195899.46371861832
DM_1039.1,DCLR00,geclaimd,De Moeren,OL binnen plan,4,26352.47911052471,194010.4223905913
DM_722.13,NRTT00,geclaimd,De Moeren,OL binnen plan,5,26740.465403366055,194724.44209416767
VL0070,DDRT00,geclaimd,De Moeren,OL binnen plan,6,26327.60011457189,192944.98975289706
DM_256.1.27,GMRS04,geclaimd,De Moeren,OL binnen plan,7,25388.2060644188,191355.46047716864
VL0535,DCLR00,geclaimd,De Moeren,OL binnen plan,9,25086.147911031192,194501.69575839117
DM_931.3,JDSR01,geclaimd,De Moeren,OL binnen plan,11,25032.328482313635,195725.45631713612
DM_262.4,GMRS04,geclaimd,De Moeren,OL binnen plan,14,27811.361655964658,193096.82595712267
DM_222.6,DDRT00,geclaimd,De Moeren,OL binnen plan,15,26870.668665496385,192740.3286956058
VL0086,NRTT00,geclaimd,De Moeren,OL binnen plan,16,24942.072045803143,192834.56674487703
VL0048,GMRS04,geclaimd,De Moeren,OL binnen plan,17,24764.18889223806,191386.01036155224
DM_44.45,DDRT00,geclaimd,De Moeren,OL binnen plan,19,26319.869375951886,191299.427777765
DM_964.1,JDSR01,geclaimd,De Moeren,OL binnen plan,21,29012.328036219595,195545.77656240188
DM_390.1,DDRT00,geclaimd,De Moeren,OL binnen plan,24,25443.89086760997,190904.00690667334
VL0538,NRTT00,geclaimd,De Moeren,OL binnen plan,25,24140.315841181975,193718.83983145747
DM_1037.1,JJNN16,geclaimd,De Moeren,OL binnen plan,26,27887.68102435926,194852.38704022008
VL0106,WBVS00,geclaimd,De Moeren,OL binnen plan,27,27855.645628731203,195492.34786646813
DM_63.2,WBVS00,geclaimd,De Moeren,OL binnen plan,28,27130.041686523527,194360.8564360108
DM_1024.10,JDSR01,geclaimd,De Moeren,OL binnen plan,30,27300.455031503247,194768.06956919568
VL0084,NRTT00,geclaimd,De Moeren,OL binnen plan,31,24216.999932967956,194745.99524524808
DM_257.2,DDRT00,geclaimd,De Moeren,OL binnen plan,32,26938.937913814163,191943.65882301817
DM_176.6,JDSR01,geclaimd,De Moeren,OL binnen plan,33,26661.107445668422,195614.49713318038
DM_765.21,GMRS04,geclaimd,De Moeren,OL binnen plan,34,24588.806683784365,192334.6900657931
VL0081,DCLR00,geclaimd,De Moeren,OL binnen plan,35,24445.08698421529,195494.08500758745
DM_199.1.13,GMRS04,geclaimd,De Moeren,OL binnen plan,36,28187.240857518518,193367.27341219358
DM_1012.6,GMRS04,geclaimd,De Moeren,OL binnen plan,39,24368.931643132717,194250.50237106602
DM_175.1.5,JDSR01,geclaimd,De Moeren,OL binnen plan,40,27323.91893802412,195260.64347029608
DM_44.6.2,GMRS04,geclaimd,De Moeren,OL binnen plan,41,28985.456099076622,193470.95164205428
VL0554,NRTT00,geclaimd,De Moeren,OL binnen plan,42,25652.975924169077,193103.74683982227
VL0092,NA,reserve,De Moeren,OL binnen plan,43,26263.205969540315,193319.2763327798
