definitief_punt	tellercode	status_claim	regio	stratum	sample_order	X	Y
DM_1012.6	GMRS04	geclaimd	De Moeren	OL binnen plan	39	24368.9316431327	194250.502371066
DM_1024.10	JDSR01	geclaimd	De Moeren	OL binnen plan	30	27300.4550315032	194768.069569196
DM_1037.1	JJNN16	geclaimd	De Moeren	OL binnen plan	26	27887.6810243593	194852.38704022
DM_1039.1	DCLR00	geclaimd	De Moeren	OL binnen plan	4	26352.4791105247	194010.422390591
DM_104.6	HMLE02	geclaimd	De Moeren	OL buiten plan	35	26861.9179678251	188282.554312963
DM_109.6	ATRR00	geclaimd	De Moeren	OL buiten plan	41	25031.8272796376	190196.121605227
DM_112.10	HMLE02	geclaimd	De Moeren	OL buiten plan	4	25179.355578493	189091.119948713
DM_1155.11	JLAN02	geclaimd	De Moeren	OL buiten plan	22	30378.8019484321	193284.733345534
DM_122.15	JLAN02	geclaimd	De Moeren	OL buiten plan	16	29539.5823667123	191830.277375153
DM_137.2	HMLE02	geclaimd	De Moeren	OL buiten plan	5	27938.4291714267	189953.220092359
DM_139.7	JJNN16	geclaimd	De Moeren	OL buiten plan	33	28085.4197466885	191482.701212773
DM_173.12	JDSR01	geclaimd	De Moeren	OL binnen plan	3	28280.9735129292	195899.463718618
DM_175.1.5	JDSR01	geclaimd	De Moeren	OL binnen plan	40	27323.9189380241	195260.643470296
DM_176.6	JDSR01	geclaimd	De Moeren	OL binnen plan	33	26661.1074456684	195614.49713318
DM_18	HMLE02	geclaimd	De Moeren	OL buiten plan	6	28334.1865332149	189528.424556038
DM_199.1.13	GMRS04	geclaimd	De Moeren	OL binnen plan	36	28187.2408575185	193367.273412194
DM_206.30	GMRS04	geclaimd	De Moeren	OL binnen plan	46	25072.3317450824	191792.728971647
DM_217.30	JDSR01	geclaimd	De Moeren	OL binnen plan	50	26833.3297120163	195892.021226917
DM_218.4	JDSR01	geclaimd	De Moeren	OL binnen plan	59	26331.1551929923	196326.912416668
DM_222.6	DDRT00	geclaimd	De Moeren	OL binnen plan	15	26870.6686654964	192740.328695606
DM_256.1.27	GMRS04	geclaimd	De Moeren	OL binnen plan	7	25388.2060644188	191355.460477169
DM_257.2	DDRT00	geclaimd	De Moeren	OL binnen plan	32	26938.9379138142	191943.658823018
DM_262.4	GMRS04	geclaimd	De Moeren	OL binnen plan	14	27811.3616559647	193096.825957123
DM_267.4	JLAN02	geclaimd	De Moeren	OL buiten plan	36	31103.4538872695	195128.151072274
DM_268.19	JLAN02	geclaimd	De Moeren	OL buiten plan	37	30163.7368739151	193755.270224234
DM_268.6	JLAN02	geclaimd	De Moeren	OL buiten plan	31	30746.8219569408	193832.186442135
DM_276.6	ATRR00	geclaimd	De Moeren	OL buiten plan	46	30794.0204915628	192038.316412996
DM_277.1.1	WBVS00	geclaimd	De Moeren	OL buiten plan	24	30561.3233599183	192563.403341877
DM_347.14	ATRR00	geclaimd	De Moeren	OL buiten plan	7	31138.2553095037	190879.294667273
DM_360.5	JLAN02	geclaimd	De Moeren	OL buiten plan	39	30358.1767112823	192043.604711974
DM_368.14	GMRS04	geclaimd	De Moeren	OL buiten plan	20	28415.6551227084	191550.792905836
DM_38.9	ATRR00	geclaimd	De Moeren	OL buiten plan	21	25647.1150121547	189151.508886795
DM_386.7	HMLE02	geclaimd	De Moeren	OL buiten plan	56	27161.4984088701	191356.553446967
DM_39.13	HMLE02	geclaimd	De Moeren	OL buiten plan	52	25574.9536578137	189901.74709378
DM_39.22	ATRR00	geclaimd	De Moeren	OL buiten plan	34	25963.2436362233	190129.428419587
DM_390.1	DDRT00	geclaimd	De Moeren	OL binnen plan	24	25443.89086761	190904.006906673
DM_44.45	DDRT00	geclaimd	De Moeren	OL binnen plan	19	26319.8693759519	191299.427777765
DM_44.6.2	GMRS04	geclaimd	De Moeren	OL binnen plan	41	28985.4560990766	193470.951642054
DM_5.12	JLAN02	geclaimd	De Moeren	OL buiten plan	59	31318.4047369772	193846.462706282
DM_501.19	JLAN02	geclaimd	De Moeren	OL buiten plan	50	30330.4430972989	194625.375552789
DM_501.30	JLAN02	geclaimd	De Moeren	OL buiten plan	12	30371.3310691032	195066.013746701
DM_52.1.9	ATRR00	geclaimd	De Moeren	OL buiten plan	26	29548.6622462735	190016.650641273
DM_54.9	JLAN02	geclaimd	De Moeren	OL buiten plan	14	29770.2547788653	193007.521093389
DM_570.5	HMLE02	geclaimd	De Moeren	OL buiten plan	45	26039.8456432359	188550.633168461
DM_600.5	ATRR00	geclaimd	De Moeren	OL buiten plan	42	27576.4736257617	190333.278455777
DM_602.6	ATRR00	geclaimd	De Moeren	OL buiten plan	25	27570.428809347	189706.911244775
DM_63.2	WBVS00	geclaimd	De Moeren	OL binnen plan	28	27130.0416865235	194360.856436011
DM_647.15	JJNN16	geclaimd	De Moeren	OL buiten plan	32	30979.5409133074	192857.931437545
DM_698.2	HMLE02	geclaimd	De Moeren	OL buiten plan	1	27639.4314928657	189041.850597271
DM_722.13	NRTT00	geclaimd	De Moeren	OL binnen plan	5	26740.4654033661	194724.442094168
DM_73.10	HMLE02	geclaimd	De Moeren	OL buiten plan	57	26767.1787076045	189395.71237512
DM_73.2	ATRR00	geclaimd	De Moeren	OL buiten plan	3	26477.8912527033	189131.118383392
DM_75.1.1	ATRR00	geclaimd	De Moeren	OL buiten plan	27	27888.7385449319	190661.533703312
DM_765.21	GMRS04	geclaimd	De Moeren	OL binnen plan	34	24588.8066837844	192334.690065793
DM_931.3	JDSR01	geclaimd	De Moeren	OL binnen plan	11	25032.3284823136	195725.456317136
DM_946.5	JDSR01	geclaimd	De Moeren	OL binnen plan	57	27706.3604816922	194262.128860611
DM_964.1	JDSR01	geclaimd	De Moeren	OL binnen plan	21	29012.3280362196	195545.776562402
DM_972.8	JDSR01	geclaimd	De Moeren	OL binnen plan	48	27291.7333675965	195772.85156641
Ol_10076	ETBX00	geclaimd	Oostelijke leemstreek	HOL buiten plan	261	232235.4791381	165616.857143961
Ol_10120.5	ETBX00	geclaimd	Oostelijke leemstreek	OL buiten plan	22	225768.380711855	171502.787994405
Ol_10209.19	JJNN16	geclaimd	Oostelijke leemstreek	OL binnen plan	143	206947.286495423	158054.490743195
Ol_10214.11	RPLT02	geclaimd	Oostelijke leemstreek	HOL buiten plan	19	209239.868277002	159473.082252187
Ol_1034.14	NA	reserve	Oostelijke leemstreek	OL binnen plan	179	216988.417066384	161288.233783601
Ol_10359.8	NOVN00	geclaimd	Oostelijke leemstreek	HOL buiten plan	125	201843.832971594	165666.525800823
Ol_1036.21	RPLT02	geclaimd	Oostelijke leemstreek	OL binnen plan	62	217225.859258884	160434.787431741
Ol_10653.6	ETBX00	geclaimd	Oostelijke leemstreek	HOL buiten plan	70	224224.433658808	166713.708302041
