naam	jaar	gewasgroep	lblhfdtlt	area_m2	area_prop
Duinen	15706	Granen, zaden en peulvruchten	Wintertarwe	1568266.97697055	0.0195350732458088
Duinen	15706	Granen, zaden en peulvruchten	Zomergerst	95236.2925621899	0.00118630818488286
Duinen	15706	Granen, zaden en peulvruchten	Zomertarwe	743090.07384586	0.00925628048921478
Duinen	15706	Grasland	Blijvend grasland	5371026.29680274	0.0669040371658461
Duinen	15706	Grasland	Grassen in natuurbeheer	3095687.47742529	0.038561343512095
Duinen	15706	Grasland	Tijdelijk grasland	703010.766656614	0.00875703373271187
Duinen	15706	Grasland	Weiland met bomen (> 50 bomen per ha)	29452.903493426	0.00036687925939578
Duinen	15706	Groenten, kruiden en sierplanten	Ajuinen (niet-vroege) - industrie	160118.386740237	0.00199451015605362
Duinen	15706	Groenten, kruiden en sierplanten	Ajuinen (vroege) - vers	7038.21562540816	8.76713338871296e-05
Duinen	15706	Groenten, kruiden en sierplanten	Andere alternatieve slasoorten - vers	16220.3143570694	0.000202047887055231
Duinen	15706	Groenten, kruiden en sierplanten	Andere groenten - vers	7459.12841176955	9.29144221064268e-05
Duinen	15706	Groenten, kruiden en sierplanten	Erwten (andere dan droog geoogst) - industrie	94967.144017736	0.00118295554365077
Duinen	15706	Groenten, kruiden en sierplanten	Groene selder - vers	27530.9811563258	0.000342938888158394
Duinen	15706	Groenten, kruiden en sierplanten	Peterselie - vers	6079.27135017319	7.57262716429758e-05
Duinen	15706	Groenten, kruiden en sierplanten	Pompoenen - vers	6512.12671751471	8.11181222844988e-05
Duinen	15706	Groenten, kruiden en sierplanten	Prei - vers	2282.63683411834	2.84336011679728e-05
Duinen	15706	Groenten, kruiden en sierplanten	Radijs - vers	5422.72036889041	6.75479629128242e-05
Duinen	15706	Groenten, kruiden en sierplanten	Stambonen (bvb. bruine bonen) - vers	19566.0083170179	0.000243723429246338
Duinen	15706	Houtachtige gewassen	Houtkanten en houtwallen > 100 m²	1160.81646307674	1.44596774427717e-05
Duinen	15706	Landbouwinfrastructuur	Stallen en gebouwen	233574.109489334	0.00290950928904524
Duinen	15706	Maïs	Korrelmaïs	58539.4620871785	0.000729195153909534
Duinen	15706	Maïs	Silomaïs	1292551.95788575	0.0161006369081926
Duinen	15706	Overige gewassen	Begraasde niet-landbouwgrond met gebruiksovereenkomst	92702.0766505233	0.00115474079605042
Duinen	15706	Overige gewassen	Niet nader omschreven gewas - kleine landbouwer	63401.5194094059	0.000789759233437951
Duinen	15706	Overige gewassen	Spontane bedekking	6349.31765447277	7.90900957951892e-05
Duinen	15706	Suikerbieten	Suikerbieten	715532.60607349	0.00891301167127271
Duinen	15706	Vlas en hennep	Vezelvlas (bestemd voor vezelproductie)	58689.3522573987	0.000731062256575774
Duinen	15706	Voedergewassen	Eenjarige grasklaver	72244.6716405478	0.000899913709108223
Duinen	15706	Voedergewassen	Meerjarige grasklaver	100439.975936975	0.00125112771967329
Duinen	15706	Voedergewassen	Voederbieten	4151.76357637548	5.17163255713311e-05
Duinen	15706	Water	Poelen	1219.48614915971	1.51904947282019e-05
Duinen	16071	Aardappelen	Aardappelen (niet-vroege)	506097.124481425	0.00630418451795501
Duinen	16071	Aardappelen	Aardappelen (pootgoed)	21328.1870934577	0.000265673959338132
Duinen	16071	Aardappelen	Aardappelen (primeur, rooi voor 20/6)	10546.6382052245	0.000131373900529422
Duinen	16071	Aardappelen	Aardappelen (vroege, rooi na 19/6)	22395.6175516556	0.000278970376652221
Duinen	16071	Fruit en Noten	Aardbeien	9011.78837320313	0.000112255087004588
Duinen	16071	Fruit en Noten	Frambozen	1579.39587560156	1.96737000568648e-05
Duinen	16071	Fruit en Noten	Meerjarige fruitteelten (pruim)	7539.97248517431	9.39214540204077e-05
Duinen	16071	Fruit en Noten	Meerjarige fruitteelten (zoete kers, laagstam)	24525.3876414683	0.000305499797543039
Duinen	16071	Granen, zaden en peulvruchten	Haver	7779.53019493422	9.69054978569986e-05
Duinen	16071	Granen, zaden en peulvruchten	Triticale	32201.6778493466	0.000401119289421049
Duinen	16071	Granen, zaden en peulvruchten	Wintergerst	118506.962864857	0.00147617863138032
Duinen	16071	Granen, zaden en peulvruchten	Winterkoolzaad	13163.1447167286	0.00016396633989144
Duinen	16071	Granen, zaden en peulvruchten	Wintertarwe	3411579.09265472	0.0424962384833353
Duinen	16071	Granen, zaden en peulvruchten	Zomergerst	71814.5809325297	0.000894556296367373
Duinen	16071	Granen, zaden en peulvruchten	Zomertarwe	187641.207808903	0.00233734739831086
Duinen	16071	Grasland	Blijvend grasland	6349532.68016368	0.0790927742566267
Duinen	16071	Grasland	Grassen in natuurbeheer	3283476.15114684	0.0409005278153761
Duinen	16071	Grasland	Tijdelijk grasland	929125.670979382	0.0115736276435567
Duinen	16071	Grasland	Weiland met bomen (> 50 bomen per ha)	29240.4815603467	0.000364233231593973
Duinen	16071	Groenten, kruiden en sierplanten	Ajuinen (niet vroege) - vers	199992.52251416	0.00249120120062411
Duinen	16071	Groenten, kruiden en sierplanten	Ajuinen (niet-vroege) - industrie	73722.7331986546	0.000918325141105094
Duinen	16071	Groenten, kruiden en sierplanten	Ajuinen (vroege) - vers	3030.50452768913	3.77493939421733e-05
Duinen	16071	Groenten, kruiden en sierplanten	Andere alternatieve slasoorten - vers	7675.76624997053	9.56129652111506e-05
Duinen	16071	Groenten, kruiden en sierplanten	Andere groenten - vers	9885.03149217852	0.000123132615219545
Duinen	16071	Groenten, kruiden en sierplanten	Andere sierplanten	487.023188200621	6.06659057011128e-06
Duinen	16071	Groenten, kruiden en sierplanten	Erwten (andere dan droog geoogst) - industrie	103495.364867829	0.00128918708547971
Duinen	16071	Groenten, kruiden en sierplanten	Groene selder - vers	20461.0358471603	0.000254872314362902
Duinen	16071	Groenten, kruiden en sierplanten	Peterselie - vers	17326.529097199	0.000215827419680327
Duinen	16071	Groenten, kruiden en sierplanten	Pompoenen - vers	5551.30611219315	6.91496875876867e-05
Duinen	16071	Groenten, kruiden en sierplanten	Prei - vers	31947.2228889021	0.000397949678402621
Duinen	16071	Groenten, kruiden en sierplanten	Radijs - vers	5608.17860443913	6.98581181789136e-05
Duinen	16071	Houtachtige gewassen	Houtkanten en houtwallen > 100 m²	1160.81646307674	1.44596774427717e-05
Duinen	16071	Landbouwinfrastructuur	Andere gebouwen	107.919800021999	1.3442999368483e-06
Duinen	16071	Landbouwinfrastructuur	Stallen en gebouwen	238247.983007903	0.00296772926234549
Duinen	16071	Maïs	Korrelmaïs	49328.2575423862	0.000614456045003319
Duinen	16071	Maïs	Silomaïs	1260200.25508761	0.0156976488372398
Duinen	16071	Overige gewassen	Begraasde niet-landbouwgrond met gebruiksovereenkomst	295675.227511931	0.0036830701093856
Duinen	16071	Overige gewassen	Niet nader omschreven gewas - kleine landbouwer	63379.8301746391	0.00078948906209848
Duinen	16071	Overige gewassen	Spontane bedekking	6010.96359472832	7.48753980191175e-05
Duinen	16071	Suikerbieten	Suikerbieten	344739.988505592	0.00429424391708179
Duinen	16071	Vlas en hennep	Vezelvlas (bestemd voor vezelproductie)	131368.577383831	0.00163638896889112
Duinen	16071	Voedergewassen	Eenjarige grasklaver	71944.861568116	0.000896179133420032
Duinen	16071	Voedergewassen	Meerjarige grasklaver	31728.7563017354	0.000395228355538126
Duinen	16071	Voedergewassen	Voederbieten	8249.74124885403	0.000102762668551912
Duinen	16071	Water	Poelen	1086.77450297454	1.35373758607708e-05
Duinen	16436	Aardappelen	Aardappelen (niet-vroege)	432918.729660097	0.00539263991245243
Duinen	16436	Aardappelen	Aardappelen (pootgoed)	168130.754403724	0.00209431598725267
Duinen	16436	Aardappelen	Aardappelen (primeur, rooi voor 20/6)	6694.81038772818	8.33937162559584e-05
Duinen	16436	Aardappelen	Aardappelen (vroege, rooi na 19/6)	32500.6166225311	0.000404843011794808
Duinen	16436	Fruit en Noten	Aardbeien	7790.24872360492	9.70390129062499e-05
Duinen	16436	Fruit en Noten	Frambozen	1579.39587560156	1.96737000568648e-05
Duinen	16436	Fruit en Noten	Meerjarige fruitteelten (pruim)	7539.97248517431	9.39214540204077e-05
Duinen	16436	Fruit en Noten	Meerjarige fruitteelten (zoete kers, laagstam)	24525.3876414683	0.000305499797543039
Duinen	16436	Granen, zaden en peulvruchten	Triticale	41896.7004973841	0.000521885064847273
Duinen	16436	Granen, zaden en peulvruchten	Tuin- en veldbonen (niet voor menselijke consumptie)	10396.6671127473	0.000129505789857375
Duinen	16436	Granen, zaden en peulvruchten	Wintergerst	697191.325346534	0.00868454402661494
Duinen	16436	Granen, zaden en peulvruchten	Wintertarwe	2706658.25878566	0.0337154120524111
Duinen	16436	Granen, zaden en peulvruchten	Zomergerst	31340.1242647633	0.000390387371560651
Duinen	16436	Granen, zaden en peulvruchten	Zomertarwe	28322.1083177886	0.000352793541270952
