WKT	name	beslissing	pointid	Naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype
POINT (2.648491 50.861849 0.0)	NA	behouden	Zn_38769.5.2	Zandleemstreek	OL buiten plan	4	eerste set	0.648623139694727	tertiary
POINT (3.390228 51.034193 0.0)	NA	behouden	Zn_38968.1	Zandleemstreek	HOL buiten plan	25	eerste set	0.44054297015579	unclassified
POINT (2.622413 50.887622 0.0)	NA	vervanging	Zn_39074.14	Zandleemstreek	OL binnen plan	59	reserve set	0.494801849807734	tertiary
POINT (2.643971 50.982528 0.0)	NA	behouden	Zn_39152.1.7	Zandleemstreek	OL binnen plan	39	eerste set	0.662771086122698	unclassified
POINT (3.092627 50.924747 0.0)	NA	vervanging	Zn_40654.1.3	Zandleemstreek	HOL buiten plan	51	reserve set	0.681735354738887	track
POINT (2.642556 50.963757 0.0)	NA	behouden	Zn_41561.8	Zandleemstreek	OL binnen plan	23	eerste set	0.659535119652466	track
POINT (3.804306 50.955193 0.0)	NA	behouden	Zn_41728.1.1	Zandleemstreek	HOL binnen plan	51	eerste set	0.18603044452088	unclassified
POINT (3.570043 50.843656 0.0)	NA	behouden	Zn_42291.6	Zandleemstreek	OL buiten plan	2	eerste set	0.78649036233318	unclassified
POINT (3.417364 50.757819 0.0)	NA	behouden	Zn_42598	Zandleemstreek	OL binnen plan	55	eerste set	0.604674199727002	unclassified
POINT (3.601205 50.876927 0.0)	NA	behouden	Zn_42724.9	Zandleemstreek	OL binnen plan	20	eerste set	0.787468677777654	unclassified
POINT (3.372164 50.966036 0.0)	NA	behouden	Zn_42819.1	Zandleemstreek	OL buiten plan	39	eerste set	0.533708702484612	unclassified
POINT (2.695077 51.002895 0.0)	NA	behouden	Zn_42945.1.1	Zandleemstreek	OL binnen plan	41	eerste set	0.620176736770418	unclassified
POINT (2.623022 50.915464 0.0)	NA	behouden	Zn_43074.1	Zandleemstreek	HOL binnen plan	8	eerste set	0.477718957046309	unclassified
POINT (4.912446 50.900282 0.0)	NA	behouden	Zn_43363.4	Zandleemstreek	HOL buiten plan	12	eerste set	0.418041714932562	track
POINT (3.921257 50.772054 0.0)	NA	behouden	Zn_44403.4	Zandleemstreek	HOL binnen plan	45	eerste set	0.275809700311069	unclassified
POINT (2.98975 50.862082 0.0)	NA	behouden	Zn_4451.2	Zandleemstreek	HOL buiten plan	17	eerste set	0.679628213781518	unclassified
POINT (3.568879 50.871267 0.0)	NA	vervanging	Zn_44800.3.3	Zandleemstreek	HOL binnen plan	61	reserve set	0.644709877916755	unclassified
POINT (4.015848 50.895167 0.0)	NA	behouden	Zn_44969.1.5	Zandleemstreek	HOL buiten plan	7	eerste set	0.451304440045201	unclassified
POINT (3.328234 51.043077 0.0)	NA	behouden	Zn_45358.1.2	Zandleemstreek	OL buiten plan	1	eerste set	0.589397427786193	unclassified
POINT (3.352137 51.022295 0.0)	NA	vervanging	Zn_45665.1.3	Zandleemstreek	HOL buiten plan	56	reserve set	0.406452439667137	track
POINT (4.096175 50.809627 0.0)	NA	behouden	Zn_46140.1	Zandleemstreek	OL binnen plan	52	eerste set	0.468462587840802	unclassified
POINT (3.007819 50.895761 0.0)	NA	behouden	Zn_46170.2.1	Zandleemstreek	HOL buiten plan	31	eerste set	0.200629921153978	track
POINT (2.759484 50.800379 0.0)	NA	behouden	Zn_46299.9	Zandleemstreek	OL binnen plan	22	eerste set	0.508272500927968	track
