pointid	key	value	Naam	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	in_sample	sample_order	batch	X	Y
DM_1008.2	waterway	stream	De Moeren	0.0845573122536017	4	1.55444169044495	1	1	35	reserve set	24188.6976232432	195202.208501346
DM_1012.6	waterway	stream	De Moeren	0.0979687128674261	4	1.5653315782547	1	1	39	reserve set	24368.9316431327	194250.502371066
DM_1013.14	waterway	ditch	De Moeren	0.146035904118135	4	1.55710399150848	1	1	55	reserve set	25852.4051019096	194929.472313615
DM_1024.10	waterway	ditch	De Moeren	0.0920246958961982	4	1.56441724300385	1	1	30	eerste set	27300.4550315032	194768.069569196
DM_1027.6	waterway	ditch	De Moeren	0	4	1.54034733772278	1	1	52	reserve set	28941.804430917	194826.862381918
DM_1034.4	waterway	ditch	De Moeren	0	4	1.5648512840271	1	1	37	reserve set	26934.9512620745	195161.704107621
DM_1037.1	waterway	stream	De Moeren	0.0641069553957308	4	1.5423983335495	1	1	26	eerste set	27887.6810243593	194852.38704022
DM_1039.1	waterway	stream	De Moeren	0.0537104835936883	4	1.52081453800201	1	1	4	eerste set	26352.4791105247	194010.422390591
DM_104.6	highway	unclassified	De Moeren	0	4	1.53123939037323	0	1	35	reserve set	26861.9179678251	188282.554312963
DM_1051.4	waterway	stream	De Moeren	0.00214332876189269	4	1.56595861911774	1	1	2	eerste set	25818.4729670661	191915.77247823
DM_1058.6	waterway	stream	De Moeren	0.486196718407934	4	1.5599000453949	1	1	42	reserve set	25649.4092931929	192819.071192546
DM_109.14	highway	unclassified	De Moeren	0.0626762170485512	4	1.54611682891846	0	1	10	eerste set	24942.7009995308	189815.613010131
DM_109.6	highway	unclassified	De Moeren	0	4	1.52262651920319	0	1	41	reserve set	25031.8272796376	190196.121605227
DM_112.10	highway	unclassified	De Moeren	0.02264306193512	4	1.54268407821655	0	1	4	eerste set	25179.355578493	189091.119948713
DM_1155.11	waterway	stream	De Moeren	0.0437110710412839	4	1.52521955966949	0	1	22	eerste set	30378.8019484321	193284.733345534
DM_122.15	highway	unclassified	De Moeren	0	4	1.52584111690521	0	1	16	eerste set	29539.5823667123	191830.277375153
