pointid	key	value	Naam	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	in_sample	sample_order	batch	X	Y
DM_1239.2	highway	unclassified	De Moeren	0	4	1.53731226921082	0	1	2	eerste set	27730.326719322	189349.772630523
DM_137.2	highway	track	De Moeren	0.0176604030139862	4	1.53613841533661	0	1	5	eerste set	27938.4291714267	189953.220092359
DM_139.7	highway	track	De Moeren	0	4	1.54218101501465	0	1	33	reserve set	28085.4197466885	191482.701212773
DM_173.12	highway	unclassified	De Moeren	0	4	1.55841481685638	1	1	3	eerste set	28280.9735129292	195899.463718618
DM_175.1.5	highway	unclassified	De Moeren	0	4	1.53940165042877	1	1	40	reserve set	27323.9189380241	195260.643470296
DM_176.6	highway	track	De Moeren	0.114430740496506	4	1.56438386440277	1	1	33	reserve set	26661.1074456684	195614.49713318
DM_18	highway	unclassified	De Moeren	0	4	1.54000890254974	0	1	6	eerste set	28334.1865332149	189528.424556038
DM_194.28	highway	unclassified	De Moeren	0.125822995728448	4	1.53607499599457	1	1	58	reserve set	24867.3236655753	195247.606140765
DM_199.1.13	highway	unclassified	De Moeren	0.00243271031629293	4	1.53447687625885	1	1	36	reserve set	28187.2408575185	193367.273412194
DM_206.30	highway	track	De Moeren	0.0498409251545349	4	1.54468333721161	1	1	46	reserve set	25072.3317450824	191792.728971647
DM_217.12	waterway	river	De Moeren	0.0211481358544068	4	1.56094861030579	1	1	1	eerste set	27638.8789216034	196179.060714071
DM_217.30	waterway	river	De Moeren	0.0511257795684547	4	1.55455780029297	1	1	50	reserve set	26833.3297120163	195892.021226917
DM_218.4	highway	unclassified	De Moeren	0.105158815417493	4	1.5563051700592	1	1	59	reserve set	26331.1551929923	196326.912416668
DM_222.6	highway	track	De Moeren	0	4	1.56026721000671	1	1	15	eerste set	26870.6686654964	192740.328695606
DM_246.10	highway	unclassified	De Moeren	0.00842646694100324	4	1.53699290752411	1	1	17	eerste set	24853.2805385476	191088.540825644
DM_256.1.27	highway	unclassified	De Moeren	0.021230701483333	4	1.5556138753891	1	1	7	eerste set	25388.2060644188	191355.460477169
DM_257.2	highway	unclassified	De Moeren	0.0551187120957828	4	1.51940143108368	1	1	32	reserve set	26938.9379138142	191943.658823018
DM_262.4	highway	unclassified	De Moeren	0	4	1.55251336097717	1	1	14	eerste set	27811.3616559647	193096.825957123
DM_267.4	highway	track	De Moeren	0	4	1.54281079769135	0	1	36	reserve set	31103.4538872695	195128.151072274
DM_268.19	highway	unclassified	De Moeren	0.150937329002627	4	1.51081502437592	0	1	37	reserve set	30163.7368739151	193755.270224234
DM_268.6	highway	unclassified	De Moeren	0.0274249012718544	4	1.54678976535797	0	1	31	reserve set	30746.8219569408	193832.186442135
DM_272.1	highway	unclassified	De Moeren	0	4	1.5156717300415	0	1	23	eerste set	31344.6009260298	192704.765098768
DM_276.6	highway	unclassified	De Moeren	0	4	1.54083275794983	0	1	46	reserve set	30794.0204915628	192038.316412996
DM_277.1.1	highway	unclassified	De Moeren	0.0439156245964295	4	1.55631077289581	0	1	24	eerste set	30561.3233599183	192563.403341877
DM_325.15	waterway	stream	De Moeren	0.0811344117083925	4	1.55391538143158	0	1	15	eerste set	30196.5446618069	194082.720064656
DM_345.20	waterway	drain	De Moeren	0	4	1.56293129920959	1	1	8	eerste set	28414.8524531443	193771.361322458
DM_347.14	highway	unclassified	De Moeren	0	4	1.51795494556427	0	1	7	eerste set	31138.2553095037	190879.294667273
DM_360.5	highway	unclassified	De Moeren	0.0226456609981678	4	1.5496369600296	0	1	39	reserve set	30358.1767112823	192043.604711974
DM_368.14	highway	unclassified	De Moeren	0.00581805856620916	4	1.53429615497589	0	1	20	eerste set	28415.6551227084	191550.792905836
DM_38.9	highway	unclassified	De Moeren	0.0582978641702979	4	1.53585803508759	0	1	21	eerste set	25647.1150121547	189151.508886795
DM_386.7	highway	tertiary	De Moeren	0	4	1.53021264076233	0	1	56	reserve set	27161.4984088701	191356.553446967
DM_39.13	highway	unclassified	De Moeren	0	4	1.54321241378784	0	1	52	reserve set	25574.9536578137	189901.74709378
DM_39.22	highway	unclassified	De Moeren	0	4	1.52952980995178	0	1	34	reserve set	25963.2436362233	190129.428419587
DM_390.1	highway	unclassified	De Moeren	0	4	1.52950763702393	1	1	24	eerste set	25443.89086761	190904.006906673
DM_44.45	waterway	river	De Moeren	0	4	1.5394344329834	1	1	19	eerste set	26319.8693759519	191299.427777765
DM_44.6.2	waterway	river	De Moeren	0	4	1.51351737976074	1	1	41	reserve set	28985.4560990766	193470.951642054
DM_498.1	highway	track	De Moeren	0.0309721414811737	4	1.55154824256897	0	1	11	eerste set	29045.6737654472	192883.15026252
DM_5.12	highway	unclassified	De Moeren	0.0487518830112821	4	1.51223134994507	0	1	59	reserve set	31318.4047369772	193846.462706282
DM_501.19	highway	unclassified	De Moeren	0	4	1.56254398822784	0	1	50	reserve set	30330.4430972989	194625.375552789
DM_501.30	highway	unclassified	De Moeren	0	4	1.53326737880707	0	1	12	eerste set	30371.3310691032	195066.013746701
DM_52.1.9	highway	tertiary	De Moeren	0	4	1.53927159309387	0	1	26	eerste set	29548.6622462735	190016.650641273
DM_54.9	highway	unclassified	De Moeren	0.0169033352787818	4	1.5186870098114	0	1	14	eerste set	29770.2547788653	193007.521093389
DM_570.5	highway	tertiary	De Moeren	0	4	1.52040576934814	0	1	45	reserve set	26039.8456432359	188550.633168461
DM_600.5	highway	unclassified	De Moeren	0.0141275244383176	4	1.51737368106842	0	1	42	reserve set	27576.4736257617	190333.278455777
DM_602.6	highway	tertiary	De Moeren	0	4	1.53385841846466	0	1	25	eerste set	27570.428809347	189706.911244775
DM_63.2	highway	unclassified	De Moeren	0.00548488173112109	4	1.55527245998383	1	1	28	eerste set	27130.0416865235	194360.856436011
DM_645.5	waterway	stream	De Moeren	0.0259523452213481	4	1.56470394134521	0	1	9	eerste set	29231.9615751801	192673.891597738
DM_647.15	waterway	stream	De Moeren	0.0146503827836282	4	1.55376648902893	0	1	32	reserve set	30979.5409133074	192857.931437545
DM_655.49	waterway	ditch	De Moeren	0.0745134524840432	4	1.56636476516724	1	1	43	reserve set	25978.7182528317	193024.563027634
DM_655.57	waterway	ditch	De Moeren	0.0585641489944402	4	1.54485106468201	1	1	6	eerste set	26123.294270619	192652.573484334
DM_698.2	highway	path	De Moeren	0	4	1.56366300582886	0	1	1	eerste set	27639.4314928657	189041.850597271
DM_722.13	waterway	ditch	De Moeren	0	4	1.5362913608551	1	1	5	eerste set	26740.4654033661	194724.442094168
DM_73.10	highway	unclassified	De Moeren	0	4	1.55073702335358	0	1	57	reserve set	26767.1787076045	189395.71237512
DM_73.2	highway	unclassified	De Moeren	0	4	1.51450026035309	0	1	3	eerste set	26477.8912527033	189131.118383392
DM_747.4	waterway	ditch	De Moeren	0.0350254443250711	4	1.5598555803299	1	1	51	reserve set	25689.9087775661	196065.032809791
DM_75.1.1	highway	unclassified	De Moeren	0.0024935514235681	4	1.51744270324707	0	1	27	eerste set	27888.7385449319	190661.533703312
DM_750.1.24	waterway	ditch	De Moeren	0.218655439862915	4	1.55856764316559	1	1	56	reserve set	25167.3188957545	194051.969947537
DM_765.21	waterway	ditch	De Moeren	0.00483542345387096	4	1.55656051635742	1	1	34	reserve set	24588.8066837844	192334.690065793
DM_827.10	waterway	stream	De Moeren	0.0587502704938653	4	1.56295228004456	1	1	16	eerste set	25108.1680755922	193152.786849944
DM_885.2	waterway	stream	De Moeren	0.0540624480001935	4	1.53314471244812	1	1	25	eerste set	24125.8557036848	193561.769955076
DM_899.2	waterway	ditch	De Moeren	0.342701918841487	4	1.55967915058136	1	1	31	reserve set	24123.0086186833	194820.023448321
DM_900.14	waterway	ditch	De Moeren	0.249456252015025	4	1.56591022014618	1	1	9	eerste set	24867.2637867333	194591.717563071
DM_929.5	waterway	ditch	De Moeren	0	4	1.55426466464996	1	1	47	reserve set	25735.3490072578	195684.531203825
DM_931.3	waterway	ditch	De Moeren	0	4	1.56336748600006	1	1	11	eerste set	25032.3284823136	195725.456317136
DM_946.5	waterway	ditch	De Moeren	0.000612986350190048	4	1.56050825119019	1	1	57	reserve set	27706.3604816922	194262.128860611
DM_951.1	waterway	ditch	De Moeren	0	4	1.53778660297394	1	1	45	reserve set	28571.1816660019	194274.440406919
DM_954	waterway	ditch	De Moeren	0	4	1.53016459941864	1	1	12	eerste set	28088.8397462556	194396.346426177
DM_957.3	waterway	ditch	De Moeren	0	4	1.55046653747559	1	1	38	reserve set	28391.2018737952	194751.191743073
DM_964.1	waterway	ditch	De Moeren	0	4	1.54332447052002	1	1	21	eerste set	29012.3280362196	195545.776562402
DM_964.17	waterway	ditch	De Moeren	0	4	1.56651318073273	1	1	27	eerste set	28245.716361343	195333.258245
DM_972.8	waterway	ditch	De Moeren	0.0405546996197033	4	1.52536273002625	1	1	48	reserve set	27291.7333675965	195772.85156641
Ol_10076	highway	unclassified	Oostelijke leemstreek	0.073084463011612	3	1.45206272602081	0	1	261	reserve set	232235.4791381	165616.857143961
Ol_10120.5	highway	tertiary	Oostelijke leemstreek	0	4	1.52132737636566	0	1	22	eerste set	225768.380711855	171502.787994405
Ol_10209.19	highway	tertiary	Oostelijke leemstreek	0.0616792354309725	4	1.53447389602661	1	1	143	reserve set	206947.286495423	158054.490743195
Ol_10214.11	highway	unclassified	Oostelijke leemstreek	0	3	1.45779490470886	0	1	19	eerste set	209239.868277002	159473.082252187
Ol_10316	highway	tertiary	Oostelijke leemstreek	0	3	1.44808411598206	0	1	101	eerste set	230478.089786386	166690.342284733
Ol_1034.14	highway	unclassified	Oostelijke leemstreek	0	4	1.52271747589111	1	1	179	reserve set	216988.417066384	161288.233783601
Ol_10359.8	highway	unclassified	Oostelijke leemstreek	0.0939837501348039	3	1.46217906475067	0	1	125	eerste set	201843.832971594	165666.525800823
Ol_1036.21	highway	tertiary	Oostelijke leemstreek	0.0119983458086338	4	1.51743292808533	1	1	62	eerste set	217225.859258884	160434.787431741
Ol_10439.8	highway	unclassified	Oostelijke leemstreek	9.95328550253007e-06	4	1.56776428222656	1	1	176	reserve set	206010.777865776	156506.776306581
Ol_10441.17	highway	unclassified	Oostelijke leemstreek	0.0435913762964261	3	1.47975969314575	1	1	69	eerste set	205275.705318521	156943.348349677
Ol_10442.10	highway	unclassified	Oostelijke leemstreek	0.0357314032352279	4	1.56233406066895	1	1	104	eerste set	206273.633991733	157145.961959524
Ol_10458	highway	unclassified	Oostelijke leemstreek	0	3	1.37266409397125	0	1	141	eerste set	227369.933647045	168940.353148931
Ol_10529.1	highway	track	Oostelijke leemstreek	0	3	1.42053210735321	0	1	260	reserve set	228507.267325146	166137.766308512
Ol_1060	highway	unclassified	Oostelijke leemstreek	0	3	1.36256289482117	0	1	264	reserve set	229829.237434593	163996.309146244
Ol_10653.6	highway	track	Oostelijke leemstreek	0	3	1.39080691337585	0	1	70	eerste set	224224.433658808	166713.708302041
Ol_1068.12	highway	unclassified	Oostelijke leemstreek	0	3	1.44859576225281	0	1	253	reserve set	229543.30530611	163359.683038015
Ol_1069.8	highway	unclassified	Oostelijke leemstreek	0	4	1.55303132534027	0	1	52	reserve set	230384.240096358	159509.643857279
Ol_10715.3	highway	unclassified	Oostelijke leemstreek	0	3	1.46707534790039	0	1	215	reserve set	213295.695427739	164572.389061898
Ol_10716.15	highway	unclassified	Oostelijke leemstreek	0	4	1.51767802238464	0	1	12	eerste set	223460.884210978	158575.535800097
Ol_1072.1.3	highway	unclassified	Oostelijke leemstreek	0	3	1.44479691982269	0	1	93	eerste set	229949.985125108	160884.840144122
Ol_10720.1	highway	track	Oostelijke leemstreek	0	3	1.50609195232391	1	1	142	reserve set	224400.115770942	158726.266460107
Ol_10738.4	highway	track	Oostelijke leemstreek	0	3	1.36203730106354	0	1	105	eerste set	212326.248445586	161486.58856455
Ol_1076.10	highway	unclassified	Oostelijke leemstreek	0.0636456750803155	4	1.51033437252045	1	1	88	eerste set	239897.43016568	166227.799006646
Ol_10778.6	highway	tertiary	Oostelijke leemstreek	0.00705598728100268	4	1.54643297195435	1	1	29	eerste set	211326.355933568	161816.114744065
Ol_10812.1	highway	unclassified	Oostelijke leemstreek	0.0265373900053085	3	1.44779539108276	0	1	36	eerste set	212473.195438327	159639.827629808
Ol_10839.4	highway	tertiary	Oostelijke leemstreek	0.155360541602549	4	1.52926921844482	1	1	54	eerste set	211862.94841646	159648.687463857
Ol_1094.1	highway	unclassified	Oostelijke leemstreek	0	3	1.44194006919861	1	1	24	eerste set	223321.90762789	159440.240719076
Ol_1096.16	highway	tertiary	Oostelijke leemstreek	0.0390052471385212	3	1.48725295066833	1	1	128	reserve set	233311.174169697	163742.392140845
Ol_10971.1.5	highway	unclassified	Oostelijke leemstreek	0	4	1.51418566703796	0	1	43	reserve set	220607.309896326	161138.630255388
Ol_10972.3	highway	track	Oostelijke leemstreek	0.0862261667754454	3	1.42987740039825	1	1	108	reserve set	221554.088386336	160683.206097579
Ol_10981	highway	tertiary	Oostelijke leemstreek	0	3	1.49937033653259	0	1	138	eerste set	222117.739742203	161304.012721558
Ol_10987.1	highway	unclassified	Oostelijke leemstreek	0.296815677796192	3	1.40525412559509	0	1	286	reserve set	223020.278846674	161817.10525405
Ol_10988.3	highway	unclassified	Oostelijke leemstreek	0	3	1.4611804485321	1	1	53	eerste set	222280.510275684	164335.538564056
Ol_11033.1	highway	track	Oostelijke leemstreek	0	3	1.4140317440033	0	1	94	eerste set	221508.522341884	164892.150563945
Ol_11054.15	highway	unclassified	Oostelijke leemstreek	1.26664765455601e-06	3	1.48471295833588	1	1	35	eerste set	200710.869184119	155970.017988522
Ol_1107.5	highway	unclassified	Oostelijke leemstreek	0	3	1.45291483402252	0	1	10	eerste set	213504.682938211	163224.149864543
Ol_11081.8	highway	unclassified	Oostelijke leemstreek	0	3	1.43452990055084	1	1	82	reserve set	204272.837535644	159778.598291766
Ol_11100.1.3	highway	unclassified	Oostelijke leemstreek	0.000133408997886128	3	1.41330063343048	1	1	103	reserve set	237834.566647173	169609.949697061
Ol_1119	highway	unclassified	Oostelijke leemstreek	0	3	1.37483787536621	0	1	2	eerste set	221432.820451921	164347.77128908
Ol_11234.9	highway	unclassified	Oostelijke leemstreek	0	4	1.54035615921021	1	1	9	eerste set	237346.513757286	164883.430138102
Ol_1125.15	highway	track	Oostelijke leemstreek	0.129331214195421	3	1.3642235994339	1	1	85	reserve set	220137.510752539	164236.392434354
Ol_11317	highway	unclassified	Oostelijke leemstreek	0	3	1.39595746994019	0	1	291	reserve set	223950.434298035	168290.104072034
Ol_11333.2.3	highway	tertiary	Oostelijke leemstreek	0	3	1.46092176437378	0	1	239	reserve set	214835.792647842	168372.841080751
Ol_11368.2	highway	path	Oostelijke leemstreek	0.0452803256517567	3	1.42277240753174	0	1	258	reserve set	223884.486445313	159987.69772737
Ol_11411	highway	unclassified	Oostelijke leemstreek	0	3	1.46311366558075	0	1	244	reserve set	227641.505169868	168684.317563729
Ol_11439.2	highway	track	Oostelijke leemstreek	0	3	1.3624826669693	0	1	75	eerste set	229997.983994288	165976.686821428
Ol_115	highway	unclassified	Oostelijke leemstreek	0.0696853587825426	4	1.558633685112	0	1	13	eerste set	214979.06930875	159856.17218158
Ol_115.8	highway	unclassified	Oostelijke leemstreek	0.00273212218244392	4	1.53593564033508	0	1	41	reserve set	214799.784524857	159509.501913768
Ol_11542	highway	path	Oostelijke leemstreek	0	3	1.44759595394135	0	1	137	eerste set	213295.411720138	164961.216566407
Ol_116.1	highway	unclassified	Oostelijke leemstreek	0.0077177837379688	3	1.50449442863464	0	1	44	eerste set	214246.088490864	160813.084833782
Ol_11600.7	highway	track	Oostelijke leemstreek	0	3	1.47041857242584	0	1	7	eerste set	214438.763887784	168063.852396233
Ol_11688.2.12	highway	tertiary	Oostelijke leemstreek	0.014413211899209	4	1.51599013805389	1	1	49	eerste set	209926.715421511	159405.013229025
Ol_11694.5	highway	tertiary	Oostelijke leemstreek	0	3	1.44044458866119	0	1	180	reserve set	225374.281394943	160313.467401702
Ol_11834.1	highway	track	Oostelijke leemstreek	0	3	1.40355849266052	0	1	284	reserve set	226127.243529408	171331.005057252
Ol_11844.8	highway	unclassified	Oostelijke leemstreek	0.145428032835801	4	1.51877272129059	1	1	90	eerste set	199747.445369676	163758.070294027
Ol_1192.11	highway	unclassified	Oostelijke leemstreek	0	4	1.51583182811737	0	1	31	reserve set	232100.28821025	170547.030087529
Ol_11964.4	highway	track	Oostelijke leemstreek	0.0319737957365543	3	1.42500126361847	0	1	51	eerste set	191277.749299722	161798.570657004
Ol_12017.1	highway	unclassified	Oostelijke leemstreek	0.112796106912317	4	1.53491187095642	0	1	49	reserve set	200581.237888565	165685.906530346
Ol_12037.5	highway	track	Oostelijke leemstreek	0	3	1.45283138751984	0	1	63	eerste set	220817.285564263	168305.678815885
Ol_12254.8	waterway	stream	Oostelijke leemstreek	0	3	1.35128974914551	0	1	155	reserve set	232290.437350806	171619.449804238
Ol_1238.5	highway	track	Oostelijke leemstreek	0.0561257033355049	3	1.49577856063843	0	1	147	eerste set	182617.030326588	165619.350754304
Ol_1240.5	highway	track	Oostelijke leemstreek	0	4	1.56127548217773	1	1	175	reserve set	181500.803615796	163984.6286923
Ol_1241.6	highway	track	Oostelijke leemstreek	0.129768682677326	3	1.49988746643066	1	1	78	reserve set	181443.652335513	165415.30232435
Ol_1250.3	highway	unclassified	Oostelijke leemstreek	0.0457403304927089	4	1.53762757778168	0	1	38	reserve set	183164.037972067	162039.936889695
Ol_1258.4	highway	track	Oostelijke leemstreek	0	3	1.4170891046524	0	1	202	reserve set	228827.929477563	164703.301387269
Ol_12609.15	highway	unclassified	Oostelijke leemstreek	0	4	1.54360723495483	0	1	11	eerste set	227053.910173113	161781.820813211
Ol_12809.7	highway	unclassified	Oostelijke leemstreek	0.0147053551014699	4	1.54505598545074	1	1	166	reserve set	210725.179586998	159263.298913077
Ol_12833.8	highway	track	Oostelijke leemstreek	0.0681044526286458	3	1.47470808029175	1	1	47	eerste set	221662.813298463	160329.611816944
Ol_12837.16	highway	unclassified	Oostelijke leemstreek	0	4	1.52716505527496	0	1	24	eerste set	216427.998410607	159253.452192415
Ol_12841.11	highway	unclassified	Oostelijke leemstreek	0.0244782755388606	3	1.48503923416138	1	1	106	reserve set	217034.586748644	160058.058323282
Ol_12842.20	highway	unclassified	Oostelijke leemstreek	0	4	1.54512107372284	1	1	82	eerste set	217813.35134647	160220.37756189
Ol_12850.10	highway	tertiary	Oostelijke leemstreek	0.0285941423030548	4	1.52958285808563	1	1	125	reserve set	209024.132108737	160814.314332447
Ol_12852.2	highway	unclassified	Oostelijke leemstreek	0	4	1.52748763561249	1	1	183	reserve set	208066.874357681	161639.329762859
Ol_12863.6	highway	unclassified	Oostelijke leemstreek	0	4	1.53462934494019	0	1	40	reserve set	211554.435277959	162737.894956759
Ol_12927.6	highway	path	Oostelijke leemstreek	0.0292377829241955	4	1.54139506816864	1	1	199	reserve set	201911.181962444	161766.715294408
Ol_12988	highway	track	Oostelijke leemstreek	0	3	1.47076845169067	1	1	52	eerste set	220098.748398318	166792.709418974
Ol_13010.2	highway	unclassified	Oostelijke leemstreek	0	3	1.44261789321899	1	1	22	eerste set	194170.890211196	162511.841702125
Ol_13016.1	highway	tertiary	Oostelijke leemstreek	0	3	1.41530478000641	0	1	21	eerste set	226201.293371404	169728.473474799
Ol_13020.1.11	highway	tertiary	Oostelijke leemstreek	0	3	1.48109269142151	0	1	107	eerste set	234719.500035985	172476.098039168
Ol_13047	highway	unclassified	Oostelijke leemstreek	0	3	1.40479528903961	0	1	177	reserve set	234343.171418667	169943.577120511
Ol_13146.2	highway	unclassified	Oostelijke leemstreek	0	4	1.5284069776535	0	1	58	reserve set	203987.659945141	164899.025843663
Ol_13240.1	highway	unclassified	Oostelijke leemstreek	0	4	1.5479439496994	1	1	149	reserve set	198407.223448881	167471.120668955
Ol_13243.7	highway	unclassified	Oostelijke leemstreek	0.159169290605695	4	1.51316428184509	1	1	113	reserve set	197614.743884746	166960.796005467
Ol_13256.5	highway	unclassified	Oostelijke leemstreek	0.00775496570450275	3	1.50224626064301	0	1	151	eerste set	196369.465739305	166876.334181855
Ol_13458.8	highway	cycleway	Oostelijke leemstreek	0.00549080688060364	4	1.51274526119232	1	1	101	eerste set	200357.831434597	155840.875166932
Ol_1348	highway	unclassified	Oostelijke leemstreek	0.0037867216884292	3	1.49126744270325	1	1	17	eerste set	233690.199112196	162619.342629455
Ol_136.9	highway	tertiary	Oostelijke leemstreek	0	4	1.56462109088898	1	1	11	eerste set	223012.218758023	160321.266997841
Ol_1372.4	highway	unclassified	Oostelijke leemstreek	0	4	1.55182898044586	1	1	6	eerste set	216680.250204651	161662.693960502
Ol_13828	highway	unclassified	Oostelijke leemstreek	0	3	1.40966355800629	0	1	106	eerste set	185857.14938204	167642.101238503
Ol_13833.3	highway	path	Oostelijke leemstreek	0.00337112014190286	4	1.51762568950653	1	1	58	eerste set	183835.114489272	166810.888613604
Ol_139	highway	unclassified	Oostelijke leemstreek	0	3	1.37504625320435	0	1	120	eerste set	223089.511799555	166649.001603331
Ol_14165.16	waterway	stream	Oostelijke leemstreek	0.0824234806872787	4	1.53577792644501	1	1	18	eerste set	237086.829786859	170740.177296668
Ol_14245.12	highway	track	Oostelijke leemstreek	0	3	1.49946486949921	0	1	221	reserve set	220187.09792018	164805.884807835
Ol_14340.13	highway	cycleway	Oostelijke leemstreek	0.0698385576326381	3	1.44505167007446	1	1	63	eerste set	204494.284713721	161785.705264543
Ol_14385.1	highway	cycleway	Oostelijke leemstreek	0	3	1.47602927684784	0	1	48	eerste set	224880.559774409	159749.424558031
Ol_14436	highway	unclassified	Oostelijke leemstreek	0.110205965321132	3	1.41595947742462	0	1	73	eerste set	207326.884592914	161442.988779762
Ol_145.2	highway	unclassified	Oostelijke leemstreek	0	3	1.35601842403412	0	1	160	reserve set	226664.044309933	168308.923850073
Ol_14535.2	waterway	stream	Oostelijke leemstreek	0.0656920806820648	3	1.46206641197205	0	1	305	reserve set	194271.515748155	167885.610347118
Ol_14880.1	highway	track	Oostelijke leemstreek	0	4	1.54464554786682	1	1	206	reserve set	202674.508950073	158343.520123363
Ol_14963.8	highway	track	Oostelijke leemstreek	0	3	1.4916228055954	0	1	293	reserve set	193702.83885442	167537.983279117
Ol_1498.1	highway	tertiary	Oostelijke leemstreek	0	3	1.43369853496552	0	1	209	reserve set	229336.099179579	165288.156423364
Ol_1524.9	highway	unclassified	Oostelijke leemstreek	0	4	1.56224882602692	1	1	180	reserve set	223935.770988655	162830.096689846
Ol_1529.5	highway	unclassified	Oostelijke leemstreek	0	3	1.36683416366577	0	1	132	eerste set	224145.83815101	165435.712429006
Ol_15393.2	highway	track	Oostelijke leemstreek	0	3	1.47585690021515	0	1	189	reserve set	183214.4075087	164878.845121988
Ol_15411	highway	track	Oostelijke leemstreek	0	3	1.3755019903183	0	1	256	reserve set	183245.87892673	166167.966115683
Ol_15420.1	highway	track	Oostelijke leemstreek	0	3	1.45282900333405	0	1	53	eerste set	182856.325557237	167174.154177431
Ol_15571.4	highway	path	Oostelijke leemstreek	0	3	1.42270517349243	0	1	98	eerste set	184228.809409843	162484.140720695
Ol_15584.1	highway	cycleway	Oostelijke leemstreek	0	3	1.413090467453	0	1	55	eerste set	206804.110563939	163331.951862158
Ol_1560.4	highway	unclassified	Oostelijke leemstreek	0.0131641294871968	4	1.52934610843658	1	1	140	reserve set	231676.482569175	166936.488321831
Ol_1561.5	highway	unclassified	Oostelijke leemstreek	0.0272411440849453	4	1.54437923431396	1	1	48	eerste set	231499.235004708	167668.618547287
Ol_15619.2	waterway	drain	Oostelijke leemstreek	0	3	1.40293025970459	0	1	220	reserve set	210899.395421558	158527.097328155
Ol_1562.2	highway	unclassified	Oostelijke leemstreek	0.0234975030873275	3	1.41489696502686	1	1	56	eerste set	231099.052090096	168270.279170102
Ol_15627.2	waterway	stream	Oostelijke leemstreek	0.0028628181497283	3	1.43089699745178	0	1	199	reserve set	210875.344154155	159552.389287298
Ol_15655	highway	cycleway	Oostelijke leemstreek	0	3	1.50610101222992	0	1	136	eerste set	211617.094026497	163677.262890843
Ol_1569.2	highway	unclassified	Oostelijke leemstreek	0	3	1.42785835266113	0	1	216	reserve set	232664.007397295	167850.480204637
Ol_1573.4	highway	unclassified	Oostelijke leemstreek	0	4	1.53765642642975	0	1	54	reserve set	235657.891062307	167502.901387817
Ol_1577.5	highway	unclassified	Oostelijke leemstreek	0	4	1.56236660480499	1	1	120	reserve set	235453.111048813	164806.174934255
Ol_1579.18	highway	unclassified	Oostelijke leemstreek	0	4	1.55382573604584	1	1	198	reserve set	234488.203302502	165679.719584822
Ol_1579.7	highway	unclassified	Oostelijke leemstreek	0.0120665619429798	4	1.51642608642578	1	1	55	eerste set	234900.895457019	166048.187329666
Ol_1580.1	highway	unclassified	Oostelijke leemstreek	0	3	1.44895374774933	0	1	232	reserve set	233276.726770322	165569.665633281
Ol_1582.15	highway	unclassified	Oostelijke leemstreek	0	3	1.50710296630859	0	1	144	eerste set	234121.581973459	163236.548373216
Ol_1585.1	highway	unclassified	Oostelijke leemstreek	0.0351318492240869	4	1.51607489585876	1	1	3	eerste set	233699.92734105	163464.566212285
Ol_1586.11	highway	unclassified	Oostelijke leemstreek	0.0694659294222803	4	1.56396412849426	1	1	162	reserve set	232735.480538124	163726.100952623
Ol_1587.1	highway	track	Oostelijke leemstreek	0	4	1.54838824272156	1	1	76	eerste set	232338.238692403	164118.728311858
