pointid	key	value	Naam	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	X	Y
DM_1002	waterway	ditch	De Moeren	0	4	1.55756223201752	1	27902.1807870604	196164.160555974
DM_1002.1	waterway	ditch	De Moeren	0	4	1.55754518508911	1	27855.9722826665	196159.054540931
DM_1002.2	waterway	ditch	De Moeren	0	4	1.55815172195435	1	27809.7637782725	196153.948525887
DM_1002.3	waterway	ditch	De Moeren	0	4	1.55722403526306	1	27763.5552738786	196148.842510844
DM_1002.4	waterway	ditch	De Moeren	0.00560305757913051	4	1.5588264465332	1	27717.3467694846	196143.736495801
DM_1003	waterway	ditch	De Moeren	0	4	1.56177318096161	1	28053.0084555291	196169.170702234
DM_1005.1	waterway	stream	De Moeren	0.0868111075498463	4	1.54809367656708	1	24781.0501198053	195543.732109443
DM_1005.2	waterway	stream	De Moeren	0.084302020753723	4	1.54158008098602	1	24799.5739185751	195495.67922787
DM_1005.3	waterway	stream	De Moeren	0.0886443070732753	4	1.53965961933136	1	24818.0977173449	195447.626346298
DM_1005.4	waterway	stream	De Moeren	0.0998716038876598	4	1.53890955448151	1	24836.6215161147	195399.573464726
DM_1005.5	waterway	stream	De Moeren	0.127800701584046	4	1.53849256038666	1	24855.1453148845	195351.520583154
DM_1008	waterway	stream	De Moeren	0.121948957979998	4	1.5506591796875	1	24286.1070021813	195234.493897645
DM_1008.1	waterway	stream	De Moeren	0.123501044350195	4	1.55311894416809	1	24237.4023127122	195218.351199496
DM_1008.2	waterway	stream	De Moeren	0.0845573122536017	4	1.55444169044495	1	24188.6976232432	195202.208501346
DM_1008.3	waterway	stream	De Moeren	0.0909816862733586	4	1.55146408081055	1	24139.9929337741	195186.065803197
DM_1008.4	waterway	stream	De Moeren	0.105394568709603	4	1.55324828624725	1	24171.5959949567	195153.449241058
DM_1008.5	waterway	stream	De Moeren	0.11421307444917	4	1.55078530311584	1	24210.0118129045	195119.435149695
DM_1008.6	waterway	stream	De Moeren	0.116269959748308	4	1.54515314102173	1	24248.4276308523	195085.421058332
DM_1010	waterway	ditch	De Moeren	0.327576091420498	4	1.5345344543457	1	23942.510677236	194930.224416853
DM_1010.1	waterway	ditch	De Moeren	0.306666440940286	4	1.5421998500824	1	23998.52509372	194937.674935582
DM_1011	waterway	ditch	De Moeren	0.0401128474114955	4	1.56542444229126	1	24509.1234211711	194164.119630799
DM_1011.1	waterway	ditch	De Moeren	0.0442800666829064	4	1.56639730930328	1	24541.9094366661	194207.813816516
DM_1011.2	waterway	ditch	De Moeren	0.0471037072815226	4	1.5667142868042	1	24572.3867287457	194253.129253158
DM_1012.1	waterway	stream	De Moeren	0.176918116918173	4	1.56222677230835	1	24122.4194023173	194239.680964787
DM_1012.2	waterway	stream	De Moeren	0.161708100932167	4	1.56411051750183	1	24169.1335784505	194228.673190761
DM_1012.3	waterway	stream	De Moeren	0.152965975463446	4	1.56497967243195	1	24219.083094621	194234.130485837
DM_1012.4	waterway	stream	De Moeren	0.139126431096102	4	1.56518602371216	1	24269.0326107916	194239.587780914
DM_1012.5	waterway	stream	De Moeren	0.120422895813038	4	1.56517922878265	1	24318.9821269622	194245.04507599
DM_1012.6	waterway	stream	De Moeren	0.0979687128674261	4	1.5653315782547	1	24368.9316431327	194250.502371066
DM_1012.7	waterway	stream	De Moeren	0.0808173979959525	4	1.56551945209503	1	24409.436935918	194261.507523884
DM_1012.8	waterway	stream	De Moeren	0.110288628278989	4	1.56546127796173	1	24389.8831342272	194307.793429673
DM_1013.1	waterway	ditch	De Moeren	0.0982723124541804	4	1.55335819721222	1	26429.2139374832	195182.725417286
