WKT	name	beslissing	pointid	Naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype
POINT (2.908199 50.762945 0.0)	NA	behouden	Lm_10274.7	Leemstreek	OL buiten plan	50	eerste set	0.787844952948615	unclassified
POINT (2.931616 50.772485 0.0)	NA	behouden	Lm_10276.12	Leemstreek	OL buiten plan	41	eerste set	0.82547247004426	unclassified
POINT (2.824041 50.723919 0.0)	NA	behouden	Lm_10626.4	Leemstreek	OL buiten plan	33	eerste set	0.705365435474938	unclassified
POINT (4.172436 50.73362 0.0)	NA	behouden	Lm_10976.1	Leemstreek	OL buiten plan	49	eerste set	0.555306897297494	unclassified
POINT (3.830905 50.74951 0.0)	NA	behouden	Lm_11070	Leemstreek	HOL buiten plan	17	eerste set	0.589924213025526	track
POINT (4.184185 50.72983 0.0)	NA	behouden	Lm_11568.1	Leemstreek	OL buiten plan	12	eerste set	0.522194682253359	unclassified
POINT (4.028538 50.752265 0.0)	NA	behouden	Lm_15064.9	Leemstreek	OL buiten plan	13	eerste set	0.72643684504849	track
POINT (3.927998 50.728182 0.0)	NA	behouden	Lm_15493.7	Leemstreek	HOL buiten plan	9	eerste set	0.543491856929463	track
POINT (3.977136 50.700861 0.0)	NA	behouden	Lm_15507.1.3	Leemstreek	OL binnen plan	48	eerste set	0.695732791098546	unclassified
POINT (4.082362 50.741783 0.0)	NA	behouden	Lm_16499	Leemstreek	OL buiten plan	43	eerste set	0.656675428353147	unclassified
POINT (4.068377 50.736167 0.0)	NA	behouden	Lm_16502	Leemstreek	HOL buiten plan	4	eerste set	0.232237035514317	unclassified
POINT (4.098882 50.733248 0.0)	NA	behouden	Lm_18391.2	Leemstreek	HOL buiten plan	11	eerste set	0.396744540256498	track
POINT (3.289144 50.772734 0.0)	NA	behouden	Lm_18408.4	Leemstreek	HOL buiten plan	37	eerste set	0.482986809439668	unclassified
POINT (4.021125 50.746602 0.0)	NA	behouden	Lm_18426.7	Leemstreek	OL buiten plan	40	eerste set	0.742014637126114	track
POINT (2.902412 50.775032 0.0)	NA	behouden	Lm_20687.1.15	Leemstreek	OL buiten plan	28	eerste set	0.630336166386231	unclassified
POINT (3.266141 50.754875 0.0)	NA	behouden	Lm_23660	Leemstreek	OL buiten plan	42	eerste set	0.595869360726608	tertiary
POINT (4.04311 50.727632 0.0)	NA	vervanging	Lm_23808.12	Leemstreek	HOL buiten plan	66	reserve set	0.54936174959634	track
POINT (3.337396 50.782494 0.0)	NA	behouden	Lm_25831	Leemstreek	OL buiten plan	47	eerste set	0.333906586706737	track
POINT (4.112588 50.758278 0.0)	NA	behouden	Lm_28084.7	Leemstreek	HOL buiten plan	15	eerste set	0.342485660604559	track
POINT (4.10881 50.741933 0.0)	NA	behouden	Lm_28100.8	Leemstreek	OL buiten plan	46	eerste set	0.32750990880052	tertiary
POINT (4.104213 50.722196 0.0)	NA	behouden	Lm_29262.4	Leemstreek	OL buiten plan	20	eerste set	0.730274851792253	track
POINT (4.027799 50.698755 0.0)	NA	behouden	Lm_31204.7	Leemstreek	OL buiten plan	3	eerste set	0.652084871267544	track
POINT (4.063862 50.73742 0.0)	NA	behouden	Lm_32746.7	Leemstreek	OL buiten plan	23	eerste set	0.460560809250676	track
POINT (4.143298 50.731988 0.0)	NA	vervanging	Lm_3302	Leemstreek	HOL buiten plan	65	reserve set	0.550641085177711	track
POINT (3.961805 50.706194 0.0)	NA	behouden	Lm_36251.1	Leemstreek	HOL binnen plan	51	eerste set	0.628379535497239	track
POINT (4.062305 50.71924 0.0)	NA	behouden	Lm_36340.8	Leemstreek	OL buiten plan	53	eerste set	0.65690119345584	track
POINT (2.838723 50.748095 0.0)	NA	behouden	Lm_36674.1	Leemstreek	OL buiten plan	18	eerste set	0.444907762138885	track
POINT (3.356353 50.728914 0.0)	NA	behouden	Lm_37804.4	Leemstreek	HOL binnen plan	12	eerste set	0.678424133234448	track
POINT (2.918223 50.76893 0.0)	NA	behouden	Lm_40976.11	Leemstreek	OL buiten plan	36	eerste set	0.721996798031213	track
POINT (3.904132 50.735095 0.0)	NA	behouden	Lm_42330.1	Leemstreek	OL buiten plan	34	eerste set	0.676316992277134	track
POINT (2.932274 50.780009 0.0)	NA	behouden	Lm_47073.2	Leemstreek	OL buiten plan	44	eerste set	0.708676656979399	unclassified
POINT (3.364657 50.734798 0.0)	NA	behouden	Lm_5106	Leemstreek	OL binnen plan	27	eerste set	0.742165147194504	unclassified
POINT (4.013211 50.707375 0.0)	NA	behouden	Lm_6334.6	Leemstreek	OL buiten plan	19	eerste set	0.643129522198714	unclassified
POINT (4.019308 50.704762 0.0)	NA	behouden	Lm_6747.1	Leemstreek	HOL buiten plan	48	eerste set	0.19716818958118	track
POINT (4.034736 50.711846 0.0)	NA	behouden	Lm_7179.1.1	Leemstreek	HOL buiten plan	6	eerste set	0.434071037215343	unclassified
