pointid	key	value	Naam	tar_group	cvvi	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	in_sample	sample_order	batch	X	Y
Zn_100010.1	highway	unclassified	Zandleemstreek	1	0.323521391988325	0	3	1.4049277305603	0	1	226	eerste set	104612.37888001	167302.152275583
Zn_100068.5	highway	track	Zandleemstreek	1	0.805981416188766	0	3	1.50628757476807	0	1	746	eerste set	166244.275150606	180619.482329915
Zn_100162	highway	track	Zandleemstreek	1	0.762408751391927	0	3	1.50786125659943	0	1	1454	eerste set	57309.6262910281	183082.878258291
Zn_100183	highway	track	Zandleemstreek	3	0.641022381241377	0	3	1.42732012271881	1	1	203	eerste set	179974.322981823	172597.860118901
Zn_100241.6	highway	unclassified	Zandleemstreek	3	0.197393954683738	0.00787989533236109	3	1.47131359577179	1	1	250	eerste set	190545.344590512	180530.025973649
Zn_100243.5	highway	unclassified	Zandleemstreek	1	0.453637346105113	0	3	1.46606850624084	0	1	540	eerste set	186321.82511233	176819.093490926
Zn_100251.3	highway	track	Zandleemstreek	3	0.467032742191124	0.0720708127661024	3	1.462442278862	1	1	331	eerste set	189691.12280003	180498.421748125
Zn_100300	highway	track	Zandleemstreek	2	0.721545267826069	0	4	1.53261506557465	0	1	319	eerste set	102076.149265636	172487.37412895
Zn_100341.7	highway	track	Zandleemstreek	1	0.518281420475347	0	3	1.38345694541931	0	1	888	eerste set	158079.667542848	178653.847303722
Zn_100383.6	highway	unclassified	Zandleemstreek	4	0.323295626885727	0	4	1.51482737064362	1	1	256	eerste set	135984.107872912	164567.441928569
Zn_100387.1	highway	track	Zandleemstreek	3	0.295827539405961	0	3	1.40125346183777	1	1	316	eerste set	136260.09432545	163865.080280258
Zn_100391.2	highway	unclassified	Zandleemstreek	3	0.33322929139906	0	3	1.3696596622467	1	1	658	eerste set	136180.945138536	163435.836016919
Zn_100450.1	highway	track	Zandleemstreek	1	0.195136303658011	0.0186965904287461	3	1.3882542848587	0	1	601	eerste set	169589.375404713	170989.628320714
Zn_100457.3	highway	track	Zandleemstreek	1	0.590450998264882	0	3	1.49053728580475	0	1	44	eerste set	116589.820086998	175867.915395404
