pointid	key	value	Naam	tar_group	cvvi	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	in_sample	sample_order	batch	X	Y
DM_104.6	highway	tertiary	Zandleemstreek	8	0.62792800529211	0	4	1.54747784137726	1	1	479	eerste set	26861.9179678251	188282.554312963
DM_368.14	highway	track	Zandleemstreek	8	0.709128187184519	0.00581805856251333	4	1.533163189888	1	1	331	eerste set	28415.6551227084	191550.792905836
DM_386.7	highway	unclassified	Zandleemstreek	8	0.719362871834543	0	4	1.53047633171082	1	1	8	eerste set	27161.4984088701	191356.553446967
DM_39.13	highway	unclassified	Zandleemstreek	8	0.753904932528333	0	4	1.5456246137619	1	1	133	eerste set	25574.9536578137	189901.74709378
DM_44.45	highway	unclassified	Zandleemstreek	8	0.794768416094207	0	4	1.54486787319183	1	1	353	eerste set	26319.8693759519	191299.427777765
DM_698.2	highway	unclassified	Zandleemstreek	8	0.628153770394692	0	4	1.54427349567413	1	1	164	eerste set	27639.4314928657	189041.850597271
Lm_10210.1	highway	unclassified	Leemstreek	1	0.568326018212659	0	3	1.43419921398163	0	1	350	eerste set	177876.117117962	167813.16040145
Lm_10214.19	highway	track	Leemstreek	3	0.735994234390814	0.00472267311236699	3	1.50764620304108	1	1	62	eerste set	179683.190038962	168001.26979291
Lm_10224.5	highway	track	Leemstreek	2	0.596095125829145	0	4	1.53990232944489	0	1	97	eerste set	180315.416464909	168453.659255327
Lm_10274.7	highway	unclassified	Leemstreek	2	0.787844952948615	0	4	1.54384362697601	0	1	50	eerste set	46962.7578798885	162395.130189084
Lm_10276.12	highway	unclassified	Leemstreek	2	0.82547247004426	0	4	1.52649915218353	0	1	41	eerste set	48635.0735056551	163423.998735728
Lm_10295.3	highway	unclassified	Leemstreek	3	0.318103029526581	0	3	1.42021870613098	1	1	123	eerste set	182942.945279789	165447.907532378
Lm_10447.12	highway	unclassified	Leemstreek	4	0.594289005008653	0	4	1.54421246051788	1	1	127	eerste set	199900.920473361	164383.332025908
Lm_10468	highway	tertiary	Leemstreek	1	0.357536667442822	0	3	1.47548604011536	0	1	43	eerste set	179470.556874753	168771.262412276
Lm_10569.8	highway	unclassified	Leemstreek	4	0.555758427502624	0.0593207963956835	4	1.51021361351013	1	1	152	eerste set	213714.079104833	160872.786073809
Lm_1060.2	highway	unclassified	Leemstreek	3	0.428050634480056	0.154621440234888	3	1.43797409534454	1	1	301	eerste set	178303.860641926	166476.318967122
Lm_10626.4	highway	unclassified	Leemstreek	2	0.705365435474938	0	4	1.53291249275208	0	1	33	eerste set	40936.2898785208	158174.992649283
Lm_10711.6	highway	unclassified	Leemstreek	1	0.635829783882162	0	3	1.50771486759186	0	1	234	eerste set	71835.6642202277	161662.424177611
Lm_10735.14	highway	unclassified	Leemstreek	4	0.48674956114926	0.015311663283327	4	1.522589802742	1	1	277	eerste set	196609.871034673	163639.986134711
Lm_10735.20	highway	unclassified	Leemstreek	3	0.468688352943323	0.030859149417793	3	1.4598833322525	1	1	87	eerste set	196635.525381617	163942.85263154
Lm_10782.4	highway	tertiary	Leemstreek	4	0.647042783976709	0.00902437772035811	4	1.53585767745972	1	1	60	eerste set	185072.073350433	164594.892761959
Lm_1080.7	highway	track	Leemstreek	4	0.73847765051923	0.121764215649632	4	1.52536487579346	1	1	371	eerste set	179661.256613199	165897.499769111
Lm_10802.13	highway	unclassified	Leemstreek	4	0.670748119746965	0.0103154672080412	4	1.55843281745911	1	1	91	eerste set	235376.779587161	164227.253597629
Lm_10803.2	highway	unclassified	Leemstreek	4	0.792435510034396	0	4	1.5328654050827	1	1	228	eerste set	234506.526063816	164270.777372824
Lm_10976.1	highway	unclassified	Leemstreek	2	0.555306897297494	0	4	1.51984822750092	0	1	49	eerste set	136141.117408829	158138.823842986
