ExternalCode	Landbouw	Bos	HeideDuin	KLE	OKLE	MoerasWater	GeenKartering	SlikStrandSchor	Suburbaan	Urbaan	Som	Stratum
DS7241	913466.79	73.01	0	0	2.51	0	0	0	9289.02	34942.92	957774.25	3
DS7242	168793.62	0	0	0	0	0	0	0	0	11714.52	180508.14	3
DS7246	57643.66	0	0	0	0	0	0	0	0	5862.94	63506.6	3
DS7247	380926.73	0	0	0	0	0	0	0	0	10947.12	391873.85	3
DS7248	519860.43	0	0	0	0	0	0	0	0	15044.78	534905.21	3
DS7249	950344.6	0	0	0	0	0	0	0	0	50526.4	1000871	3
DS7250	880223.26	0	0	0	0	0	0	0	76422.56	43592.98	1000238.8	3
DS7251	824727.09	0	0	0	0	7890.19	0	0	151015.7	17240.13	1000873.11	3
DS7252	953838.15	0	0	0	3219.61	10721.96	0	0	0	32890.67	1000670.39	3
DS7253	945700.73	0	0	0	3.92	0	0	0	36531.87	18660.64	1000897.16	3
DS7254	921688.6	9431.44	0	0	18598.5	0	0	0	16614.48	34351.09	1000684.11	3
DS7255	976702.14	0	0	0	0	0	0	0	0	24194.13	1000896.27	3
DS7256	961012.29	0	0	0	0	22455.84	0	0	0	17219.53	1000687.66	3
DS7257	775156.59	0	0	0	0	0	28235.21	0	160149.33	37379.76	1000920.89	3
DS7258	740235.14	0	0	0	0	0	1850.61	0	20572.35	238058.61	1000716.71	3
DS7259	762786.65	115781.03	15457.97	0	0	0	19975.5	0	9503.99	77421.81	1000926.95	3
DS7260	62873.64	182612.61	448567.21	0	0	0	0	0	10652.74	296012.39	1000718.59	2
DS7261	0	0	586411.45	0	0	0	0	1931.52	364328.95	48044.68	1000716.6	2
DS7262	0	0	10108.83	0	0	0	131103.13	338214.19	44019.07	160452.84	683898.06	NA
DS7329	8642.02	0	0	0	0	0	0	0	0	0	8642.02	3
DS7330	181945.85	0	0	0	0	0	0	0	0	1148.38	183094.23	3
DS7331	383715	0	0	0	0	629.83	0	0	0	16738.91	401083.74	3
DS7332	938906.82	0	0	0	592.79	0	0	0	8751.94	44152.09	992403.64	3
DS7333	881437.41	3391.43	0	0	1274.04	0	0	0	0	114468.48	1000571.36	3
DS7334	684278.04	14243.91	0	0	0	5976.03	0	0	0	296520.66	1001018.64	NA
DS7335	945189.48	1307.25	0	0	0	0	0	0	8940.49	44720.7	1000157.92	3
DS7336	958102.32	0	0	0	0	7393.83	0	0	6646.17	28463.68	1000606	3
DS7337	965483.2	0	0	0	0	0	0	0	0	35553.47	1001036.67	3
DS7338	933995.35	0	0	0	0	3974.14	0	0	14404.62	48250.78	1000624.89	3
DS7339	875992.45	7194.02	0	0	0	0	0	0	5650.55	111799.73	1000636.75	3
DS7340	738832.75	5091.23	0	0	1665.14	0	17024.82	0	17540.35	220896.4	1001050.69	3
DS7341	847793.89	0	0	0	1615.66	0	19663.71	0	454.28	131117.97	1000645.51	3
DS7342	888333	0	0	0	502.97	0	0	0	0	39036.64	927872.61	3
DS7343	377904.37	0	0	0	0	0	0	0	0	10779.64	388684.01	3
DS7344	101189.56	0	0	0	0	0	0	0	0	2938.53	104128.09	3
DS7345	463495.33	0	0	0	0	0	0	0	5267.4	6283.97	475046.7	3
DS7346	825971.97	0	0	0	0	0	0	0	0	42688.7	868660.67	3
DS7347	920776.46	0	0	0	0	0	0	0	13726.84	66591.96	1001095.26	3
DS7348	808767.53	8912.56	0	0	0	0	0	0	0	182984.96	1000665.05	3
DS7349	981683.71	0	0	0	128.65	0	0	0	0	18641.42	1000453.78	3
DS7350	931180.86	9509.69	0	0	0	0	0	0	0	59756.08	1000446.63	3
DS7351	953735	0	0	0	0	0	0	0	0	47386.85	1001121.85	3
DS7352	953774.19	0	0	0	0	16780.5	0	0	9004.56	21124.98	1000684.23	3
DS7353	978377.19	0	0	0	0	0	0	0	0	22313.11	1000690.3	3
DS7354	886530.85	71233.58	0	0	6578.2	0	0	0	0	36348.9	1000691.53	3
DS7355	973651.62	0	0	0	0	2521.32	0	0	0	24940.92	1001113.86	3
DS7356	971370.95	0	0	0	0	316.16	0	0	0	29004.98	1000692.09	3
DS7357	862979.33	0	0	0	0	0	28971.25	0	69603.69	39136.68	1000690.95	3
DS7358	965542.05	0	0	0	2415.34	0	0	0	0	32748.31	1000705.7	3
DS7359	933695.34	0	0	0	16287.18	0	11954.26	0	0	39192.36	1001129.14	3
DS7360	514575.19	24647.26	12265.57	0	0	0	9182.91	0	246513.93	193513.87	1000698.73	NA
DS7361	261635.02	0	10862.62	0	0	0	0	0	721985.62	6232.44	1000715.7	5
DS7362	3378.69	0	0	0	0	0	34082.12	165641.24	758385.99	35358.36	996846.4	5
DS7363	0	0	0	0	0	0	160251.85	122027.87	16904.03	0	299183.75	NA
DS7429	724991.6	4326.38	0	0	0	0	0	0	0	85647.87	814965.85	3
DS7430	950097.09	0	0	0	5371.6	0	0	0	1122.8	44013.39	1000604.88	3
DS7431	939936.04	18495.42	0	0	2091.64	0	0	0	9425.66	30867.14	1000815.9	3
DS7432	920549.48	0	0	0	4601.27	2785.05	0	0	14230.76	58651.9	1000818.46	3
DS7433	948188.43	0	0	0	265.79	0	0	0	0	52162.53	1000616.75	3
DS7434	905267.15	988.51	0	0	1777.24	0	0	0	45497.28	47078.12	1000608.3	3
DS7435	961197.26	0	0	0	454.88	0	0	0	0	38967.25	1000619.39	3
DS7436	912013.85	0	0	0	0	3130.12	0	0	2123.45	83346.67	1000614.09	3
DS7437	958707.83	9336.21	0	0	1243.37	0	0	0	0	31538.48	1000825.89	3
DS7438	937447.39	6095.53	0	0	2275.12	36.05	0	0	0	54972.52	1000826.61	3
DS7439	945980.2	0	0	0	0	0	0	0	0	54619.81	1000600.01	3
DS7440	925427.66	911.6	0	0	0	0	0	0	0	74487.82	1000827.08	3
DS7441	954629.95	0	0	0	6949.33	0	10390.74	0	6092.75	22545.87	1000608.64	3
DS7442	903585.14	4005.24	0	0	1928.87	0	17059.09	0	0	74266.12	1000844.46	3
DS7443	795518.5	978.08	0	0	2996.68	0	0	0	0	144584.62	944077.88	3
DS7444	938860.94	0	0	0	0	0	0	0	892.12	28058.06	967811.12	3
DS7445	949452.78	0	0	0	0	0	0	0	9610.07	41785.92	1000848.77	3
DS7446	969307.15	0	0	0	0	0	0	0	0	31331.7	1000638.85	3
DS7447	959157.71	0	0	0	68.63	0	0	0	0	41630.66	1000857	3
DS7448	924110.61	0	0	0	271.3	0	0	0	0	76044.68	1000426.59	3
DS7449	933998.56	0	0	0	0	0	0	0	3432.83	63224.23	1000655.62	3
DS7450	977417.29	0	0	0	0	3237.79	0	0	0	20012.15	1000667.23	3
DS7451	933172.33	0	0	0	0	9983.98	0	0	6237.81	51505.43	1000899.55	3
DS7452	922353.99	0	0	0	0	13845.58	0	0	0	64684.75	1000884.32	3
DS7453	959376.44	0	0	0	0	12956.55	0	0	0	28366.82	1000699.81	3
DS7454	959482.44	0	0	0	2792.63	6360.84	0	0	0	32056.41	1000692.32	3
DS7455	962578.74	0	0	0	0	522.65	0	0	0	37792.25	1000893.64	3
DS7456	927254.24	0	0	0	0	10483.25	0	0	33329.65	29842.63	1000909.77	3
DS7457	882812.68	634.16	0	0	0	0	26589.73	0	53495.87	37190.39	1000722.83	3
DS7458	960164.01	6277.53	0	0	0	0	0	0	4388.18	29877.42	1000707.14	3
DS7459	762535.78	0	0	0	0	0	0	0	227734.25	10647.93	1000917.96	3
DS7460	451983.44	14473.38	0	0	0	0	9298.33	0	471365.74	53811.9	1000932.79	NA
DS7461	629861.3	1675.67	1375.38	0	0	0	0	0	165366.89	202442.47	1000721.71	NA
DS7462	80762.49	0	63619.78	0	0	0	0	0	819586.73	36757.93	1000726.93	5
DS7463	0	0	61525.41	0	0	0	107163.42	335128.67	234275.3	195947.79	934040.59	NA
DS7464	0	0	0	0	0	0	95489.94	128311.92	0	0	223801.86	NA
DS7529	808902.14	0	0	0	0	723.52	0	0	0	42545.19	852170.85	3
DS7530	925519.69	0	0	0	1728.48	0	0	0	4955.52	68364.37	1000568.06	3
DS7531	939946.63	7240.37	0	0	1207.61	0	0	0	7529.44	44678.13	1000602.18	3
DS7532	957318.24	0	0	0	2553.38	0	0	0	6337.4	34826.08	1001035.1	3
DS7533	877252.86	0	0	0	0	0	0	0	31660.11	91472.97	1000385.94	3
DS7534	936805.54	0	0	0	0	0	0	0	10743.85	52838.47	1000387.86	3
DS7535	958202.53	0	0	0	0	0	0	0	11234.98	31608.64	1001046.15	3
DS7536	927963.2	0	0	0	0	0	0	0	19746.65	52925.08	1000634.93	3
DS7537	588580.96	2080.42	0	0	0	0	0	0	43008.21	366951.38	1000620.97	NA
DS7538	823714.18	4737.68	0	0	2637.19	56764.78	0	0	461.59	112735.66	1001051.08	3
DS7539	943256.8	0	0	0	15227.36	0	0	0	0	42146.38	1000630.54	3
DS7540	960081.85	766.41	0	0	0	0	0	0	0	39791.32	1000639.58	3
DS7541	970781.01	0	0	0	0	0	0	0	3236.52	26828.53	1000846.06	3
DS7542	952356.62	0	0	0	620.81	0	17458.38	0	0	30427.38	1000863.19	3
DS7543	939478.03	0	0	0	3080.49	6627.4	21274.05	0	0	30182.98	1000642.95	3
DS7544	957932.36	0	0	0	3105.68	0	0	0	0	39598.68	1000636.72	3
DS7545	965274.49	0	0	0	4.4	0	0	0	13972.52	21831.27	1001082.68	3
DS7546	965210.4	2841.59	0	0	0	0	0	0	0	32599.73	1000651.72	3
DS7547	973546.74	0	0	0	0	0	0	0	1817.54	25297.73	1000662.01	3
DS7548	942748.34	0	0	0	0	0	0	0	25722.76	31981.83	1000452.93	3
DS7549	835028.3	0	0	0	0	0	0	0	114369.26	51469.01	1000866.57	3
DS7550	956162.68	0	0	0	0	4621.48	0	0	8975.57	30903.09	1000662.82	3
DS7551	819940.62	35197.88	0	0	0	16751.41	0	0	105977.8	22802.59	1000670.3	3
DS7552	975757.41	0	0	0	0	0	0	0	0	25335.67	1001093.08	3
DS7553	974253.7	0	0	0	6315.04	0	0	0	0	20102.39	1000671.13	3
DS7554	749793.76	0	0	0	1985.84	14303.44	0	0	0	234588.94	1000671.98	3
DS7555	911140.54	0	0	0	0	28207.01	0	0	17855.22	43705.05	1000907.82	3
DS7556	886036.56	0	0	0	0	35199.76	0	0	62430.02	17231.69	1000898.03	3
DS7557	864333.47	0	0	0	0	9356.86	29790.9	0	14829.83	82383.6	1000694.66	3
DS7558	638813.3	0	0	0	0	3606.73	0	0	33620.22	324648.06	1000688.31	NA
DS7559	444161.82	0	0	0	0	0	0	0	519392.06	37354.49	1000908.37	NA
DS7560	498393.43	0	0	0	0	0	0	0	487895.77	14641.44	1000930.64	NA
DS7561	287671.4	0	528.04	0	683.82	0	0	0	695488.42	16353.98	1000725.66	NA
DS7562	184572.13	0	434158.46	0	0	0	0	0	381792.05	0	1000522.64	2
DS7563	0	0	782442.12	0	0	0	0	12775.74	169867.11	35445.65	1000530.62	2
DS7564	0	0	193000.51	0	0	0	155160.71	486988.92	11464.64	0	846614.78	2
DS7565	0	0	0	0	0	0	16599.13	0	0	0	16599.13	NA
DS7629	189541.8	0	0	0	696.59	0	0	0	0	77612.56	267850.95	3
DS7630	852446.91	0	0	0	2146.73	0	0	0	0	127714.86	982308.5	3
DS7631	579775.16	393078.57	0	0	0	0	0	0	1000.79	26741	1000595.52	NA
DS7632	922598.19	18209.63	0	0	1132.66	0	0	0	4779.65	54085.22	1000805.35	3
DS7633	939584.27	0	0	0	6791.9	0	0	0	9219.45	44774.52	1000370.14	3
DS7634	828317.65	33064.04	0	0	0	0	0	0	15899.59	123318.7	1000599.98	3
DS7635	569807.4	398235.96	0	0	0	1418.29	0	0	0	31349.53	1000811.18	NA
DS7636	910427.78	23308.9	0	0	0	0	0	0	13159.01	53915.63	1000811.32	3
DS7637	851949.06	18495.43	0	0	0	0	0	0	1247.57	128909.13	1000601.19	3
DS7638	945438.05	0	0	0	0	0	0	0	10537.68	44830.84	1000806.57	3
DS7639	960010.56	0	0	0	0	0	0	0	0	40829.17	1000839.73	3
DS7640	931982.12	0	0	0	1693.58	0	0	0	0	66946.92	1000622.62	3
DS7641	956596.09	0	0	0	0	0	0	0	15371.54	28867.61	1000835.24	3
DS7642	910298.39	0	0	0	0	0	0	0	0	90551.71	1000850.1	3
DS7643	887620.97	0	0	0	584.78	0	27840.77	0	0	84588.2	1000634.72	3
DS7644	948711.15	1125.4	0	0	6687.1	0	0	0	0	44120.03	1000643.68	3
DS7645	965771.9	0	0	0	0	0	0	0	3528.36	31577.86	1000878.12	3
DS7646	919081.24	0	0	0	870.11	4924.75	0	0	14500.78	61503.33	1000880.21	3
DS7647	933788.64	0	0	0	0	0	0	0	30076.91	36583.55	1000449.1	3
DS7648	953228.98	1046.8	0	0	4298.27	5041.73	0	0	0	37050.98	1000666.76	3
DS7649	935942.71	819.48	0	0	0	0	0	0	6537.39	57580.32	1000879.9	3
DS7650	976020.39	0	0	0	0	0	0	0	0	24656.97	1000677.36	3
DS7651	887560.38	0	0	0	0	0	0	0	82179.9	30938.01	1000678.29	3
DS7652	975303.51	333.6	0	0	0	0	0	0	0	25268.76	1000905.87	3
DS7653	986021.29	0	0	0	0	0	0	0	0	14876.85	1000898.14	3
DS7654	956002.46	2144.96	0	0	0	6907.73	0	0	14291.03	21334.06	1000680.24	3
DS7655	922630.32	0	0	0	0	4075.46	0	0	28832.99	45366.97	1000905.74	3
DS7656	517189.28	0	0	0	0	0	5809.6	0	126047.07	351876.49	1000922.44	NA
DS7657	39465.16	0	0	0	0	0	55742.03	0	129455.5	776048.47	1000711.16	6
DS7658	217408.53	28748.2	0	0	77.39	2382.94	22924.41	0	22935.32	706225.95	1000702.74	6
DS7659	928371.09	1588.01	0	0	1257.87	10313.78	2296.51	0	42149.23	14935.86	1000912.35	3
DS7660	942976.35	0	0	0	2137.32	5957.57	0	0	39888.34	9756.89	1000716.47	3
DS7661	865437.06	0	0	0	29476.74	10311.46	0	0	76340.37	19379.25	1000944.88	3
DS7662	194742.03	0	270061.21	0	0	0	0	0	535484.45	0	1000287.69	2
DS7663	0	39343.25	652230.14	0	0	0	0	0	309129.62	0	1000703.01	2
DS7664	45139.97	0	215348.3	0	0	0	2713.66	441045.87	249931.05	46757.21	1000936.06	2
DS7665	0	0	0	0	0	0	115331.17	247330.53	0	0	362661.7	NA
DS7729	538443.46	6967.37	0	0	4670.03	0	0	0	119082.96	34198.46	703362.28	3
DS7730	884088.06	1312.58	0	0	21754.66	0	0	0	39259.25	54613.31	1001027.86	3
DS7731	905445.41	13943.26	0	0	487.14	0	0	0	0	80715.6	1000591.41	3
DS7732	949529.71	2855.04	0	0	0	0	0	0	9640.51	38584.52	1000609.78	3
DS7733	936073.75	0	0	0	1485.5	0	0	0	3720.51	59332.35	1000612.11	3
DS7734	936567.26	0	0	0	1001.25	0	0	0	5206.81	57836.78	1000612.1	3
DS7735	752599.85	191359.16	0	0	0	0	0	0	13186.63	43688.79	1000834.43	3
DS7736	799167.44	137568.13	0	0	0	5744.93	0	0	6181.61	52172.76	1000834.87	3
DS7737	835001.17	89683.12	0	0	4291.61	0	0	0	0	71641.92	1000617.82	3
DS7738	902464.37	26957.02	0	0	0	1370.34	0	0	11228.96	58818.61	1000839.3	3
DS7739	922739.38	0	0	0	0	0	0	0	17621.73	60478.27	1000839.38	3
DS7740	875003.68	1662.41	0	0	0	0	0	0	1941	122021.69	1000628.78	3
DS7741	940253.38	137.09	0	0	0	0	0	0	0	60244.71	1000635.18	3
DS7742	955087.85	1263.5	0	0	0	0	0	0	0	44700.74	1001052.09	3
DS7743	914363.39	0	0	0	1750.94	0	23840.46	0	0	60685.83	1000640.62	3
DS7744	958633.62	0	0	0	0	0	3214.76	0	0	38783.4	1000631.78	3
DS7745	953360.24	0	0	0	0	0	0	0	36038.5	11444.83	1000843.57	3
DS7746	871480.17	0	0	0	0	0	0	0	8807.94	120572.8	1000860.91	3
DS7747	942421.28	10575.1	0	0	0	0	0	0	0	47225.89	1000222.27	3
DS7748	976237.91	213.71	0	0	6866.78	0	0	0	0	17552.94	1000871.34	3
DS7749	952092.43	0	0	0	0	0	0	0	7982.53	40795.79	1000870.75	3
DS7750	932234.68	0	0	0	0	0	0	0	15603.12	52822.13	1000659.93	3
DS7751	950000.27	0	0	0	0	0	0	0	15329.34	35330.25	1000659.86	3
DS7752	929034.72	0	0	0	0	0	0	0	17707.28	54137.25	1000879.25	3
DS7753	939973.93	0	0	0	3195.61	0	0	0	32023.4	25672.24	1000865.18	3
DS7754	904405.29	20601.52	0	0	367.21	0	0	0	17691.23	57609.49	1000674.74	3
DS7755	905088.95	2382.44	0	0	3687.63	19100.4	15905.51	0	0	54739.09	1000904.02	3
DS7756	534906.09	0	0	0	0	932.3	16640.04	0	424725.58	23716.17	1000920.18	NA
DS7757	152885.06	0	0	0	0	167282.53	0	0	567163.53	113377.23	1000708.35	NA
DS7758	497433.45	0	0	0	0	1627.22	0	0	0	501648.62	1000709.29	NA
DS7759	920999.37	0	0	0	4300.79	7245.05	17743	0	32177.27	18462.73	1000928.21	3
DS7760	840624.51	0	0	0	8307.33	2672.8	20110.68	0	105265.04	23746.07	1000726.43	3
DS7761	870824.6	0	0	0	0	10205.88	4191.78	0	13316.51	102193.06	1000731.83	3
DS7762	359542.45	1608.99	307.51	0	1260.3	0	0	0	343641.92	294158.08	1000519.25	NA
DS7763	85490.53	0	251921.67	0	0	0	0	0	527029.32	136502.06	1000943.58	2
DS7764	9097.22	0	178853.38	0	0	0	0	44696.27	523036.92	245064.04	1000747.83	NA
DS7765	6016.2	0	26596.89	0	0	0	55774.27	645336.96	0	22122.73	755847.05	NA
DS7829	763646.4	0	0	0	2574.77	0	0	0	36982.84	36461.43	839665.44	3
DS7830	911796.07	30559.65	0	0	16134.89	0	0	0	11685.54	30842.5	1001018.65	3
DS7831	899519.79	617.09	0	0	10947.3	0	0	0	5215.63	84274.06	1000573.87	3
DS7832	956182.83	0	0	0	0	0	0	0	0	44173.33	1000356.16	3
DS7833	926393.19	0	0	0	0	0	0	0	20109.23	54293.21	1000795.63	3
DS7834	892272.88	0	0	0	0	13545.17	0	0	35953.02	58824.49	1000595.56	3
DS7835	891998.4	0	0	0	0	0	0	0	11649.35	97166.75	1000814.5	3
DS7836	375745.02	565129.38	0	0	0	14546.35	0	0	0	45419.52	1000840.27	NA
DS7837	591212.13	361548.27	0	0	0	0	0	0	0	47849.82	1000610.22	NA
DS7838	689313.26	250726.9	0	0	0	0	0	0	6580.75	54223.32	1000844.23	NA
DS7839	898593.74	0	0	0	0	0	0	0	20606.33	81644	1000844.07	3
DS7840	887552.52	0	0	0	0	0	0	0	1475.63	111615.05	1000643.2	3
DS7841	960198.75	0	0	0	0	0	0	0	0	40454.63	1000653.38	3
DS7842	959949.6	0	0	0	0	0	0	0	0	41103.03	1001052.63	3
DS7843	944631.98	10580.81	0	0	3549.53	0	0	0	0	41875.99	1000638.31	3
DS7844	921689.57	0	0	0	46.39	0	35662.77	0	0	43246.66	1000645.39	3
DS7845	971324.91	0	0	0	0	0	0	0	0	29539.63	1000864.54	3
DS7846	915790.89	0	0	0	0	0	0	0	41150.2	43713.88	1000654.97	3
DS7847	892311.75	0	0	0	267.46	0	0	0	133.65	107717.77	1000430.63	3
DS7848	951019.03	0	0	0	4303.48	0	0	0	324.52	45237.96	1000884.99	3
DS7849	964827.91	0	0	0	0	0	0	0	11765.06	24284.83	1000877.8	3
DS7850	961974.79	4844.77	0	0	0	0	0	0	382.97	33472.34	1000674.87	3
DS7851	947911.75	318.74	0	0	1485.89	0	0	0	17881.12	33085.91	1000683.41	3
DS7852	973359.47	0	0	0	8792.47	0	0	0	0	18962.31	1001114.25	3
DS7853	971114.2	0	0	0	13606.63	0	0	0	377.68	15579.45	1000677.96	3
DS7854	945417.84	0	0	0	0	0	28687.99	0	14930.27	11667.11	1000703.21	3
DS7855	973260.85	0	0	0	0	0	6848.46	0	0	20794.8	1000904.11	3
DS7856	895274.05	5708.39	0	0	0	17027.66	0	0	7245.22	75638.66	1000893.98	3
DS7857	639877.67	0	0	0	0	0	0	0	307994.03	52805.77	1000677.47	NA
DS7858	942362.01	0	0	0	57.55	13407.03	0	0	3741.92	41133.53	1000702.04	3
DS7859	945140.39	0	0	0	0	4872.32	0	0	34654.62	16251.68	1000919.01	3
DS7860	912711.18	0	0	0	409.37	1880.4	341.68	0	55093.13	30277.49	1000713.25	3
DS7861	791235.63	986.32	0	0	13418.43	346.76	30658.66	0	84821.18	79034.14	1000501.12	3
DS7862	783080.34	2105.14	0	0	1208.45	10976.67	0	0	140252.32	63074.75	1000697.67	3
DS7863	374596.3	19120.65	6774.16	0	0	0	0	0	599077.6	1356.16	1000924.87	NA
DS7864	76588.04	107766.59	544319.19	0	0	0	0	0	247768.3	24491.54	1000933.66	2
DS7865	183506.71	0	171128.98	0	0	0	14901.2	487761.36	142522.66	0	999820.91	NA
DS7866	0	0	0	0	0	0	85548.4	105642.03	0	0	191190.43	NA
DS7929	766823.97	9666.46	0	0	1875.59	370.01	0	0	0	46988.74	825724.77	3
DS7930	943152.39	5364.52	0	0	3349.54	276.93	0	0	0	48881.68	1001025.06	3
DS7931	842587.34	0	0	0	20905.06	0	0	0	59480.91	77410.86	1000384.17	3
DS7932	708753.76	48319.2	0	0	7793	13835.75	0	0	53060.95	168850.88	1000613.54	3
DS7933	663560	484.35	0	0	1911.24	0	0	0	37594.26	297277.62	1000827.47	NA
DS7934	943866.96	1293.58	0	0	2805.17	6767.18	0	0	7148.19	38730.49	1000611.57	3
DS7935	889050.92	1748.87	0	0	0	0	0	0	9906.49	100118.42	1000824.7	3
DS7936	896309.3	21735.17	0	0	0	0	0	0	5021.94	77758.52	1000824.93	3
DS7937	750344.58	167043.97	0	0	0	0	0	0	0	83201.3	1000589.85	3
DS7938	824243.13	146209.3	0	0	0	509.07	0	0	0	29873.33	1000834.83	3
DS7939	899829.11	18183.07	0	0	0	0	0	0	0	82823.48	1000835.66	3
DS7940	915572.7	3676.35	0	0	0	0	0	0	0	81367.49	1000616.54	3
DS7941	952273.8	0	0	0	0	0	0	0	0	48548.92	1000822.72	3
DS7942	954202.95	10385.25	0	0	5488.57	10734.56	0	0	0	20027.46	1000838.79	3
DS7943	762473.05	217087.87	0	0	13698.84	0	0	0	0	7374.29	1000634.05	3
DS7944	847816.53	66234.05	0	0	13398.16	0	35030.5	0	0	38377.15	1000856.39	3
DS7945	929853.32	0	0	0	0	0	0	0	0	70575.47	1000428.79	3
DS7946	924297.3	0	0	0	3200.59	0	0	0	20065.39	53075.09	1000638.37	3
DS7947	966113.79	0	0	0	8079.68	0	0	0	1411.72	25040.68	1000645.87	3
DS7948	962709.22	0	0	0	5882.46	0	0	0	0	32282.2	1000873.88	3
DS7949	960580.22	0	0	0	456.04	0	0	0	0	39855.82	1000892.08	3
