ExternalCode	Landbouw	Bos	HeideDuin	KLE	OKLE	MoerasWater	GeenKartering	SlikStrandSchor	Suburbaan	Urbaan	Som	Stratum
DS6760	0	0	0	0	0	0	6594.66	0	0	0	6594.66	NA
DS6858	52625.06	41736.58	99729.05	0	0	0	0	0	2441.55	13727.48	210259.72	2
DS6859	0	0	641931.1	0	0	0	0	33547.2	0	0	675478.3	2
DS6860	0	0	73214.16	0	0	0	159350.96	322738.79	0	0	555303.91	NA
DS6950	10010.28	0	0	0	0	0	0	0	0	0	10010.28	3
DS6951	20831.93	0	0	0	0	0	0	0	0	0	20831.93	3
DS6952	4491.38	0	0	0	0	0	0	0	0	0	4491.38	3
DS6953	130123.77	0	0	0	0	2636.49	0	0	0	3827.83	136588.09	3
DS6954	329576.02	0	0	0	0	0	0	0	0	336.67	329912.69	3
DS6955	504834.58	0	0	0	0	0	0	0	0	21004.27	525838.85	3
DS6956	351796.95	115216.42	123048.01	0	0	7174.22	0	0	46738.92	11534.53	655509.05	NA
DS6957	622813.25	102477.99	10402.63	0	0	0	24753.83	0	2380.03	23106.78	785934.51	3
DS6958	384122.35	64418.28	289964.1	0	0	52107.32	0	0	191169.92	18124.74	999906.71	2
DS6959	0	0	1000926.15	0	0	0	0	0	0	0	1000926.15	2
DS6960	0	0	476656.08	0	0	0	35739.18	345010.62	95650.22	0	953056.1	2
DS6961	0	0	0	0	0	0	39752.25	59833.23	0	0	99585.48	NA
DS7049	201061.44	0	0	0	0	2570.48	0	0	10266.15	3468.72	217366.79	3
DS7050	833527.8	0	0	0	0	10802.58	0	0	2167.24	19463.1	865960.72	3
DS7051	868353.72	0	0	0	0	3473.95	0	0	0	14928.94	886756.61	3
DS7052	886473.76	0	0	0	0	0	0	0	22824.13	33516.21	942814.1	3
DS7053	947299.97	0	0	0	0	3477.35	0	0	33048.07	17066.61	1000892	3
DS7054	939948.65	0	0	0	0	14204.1	0	0	19846.6	26690.73	1000690.08	3
DS7055	975417.36	0	0	0	0	0	0	0	0	25482.77	1000900.13	3
DS7056	824618.44	16363.97	91092.59	0	0	10835.42	0	0	41573.02	16188.01	1000671.45	3
DS7057	540310.73	113723.83	280881.73	0	0	2337.72	18222.07	0	10655.44	34555.55	1000687.07	2
DS7058	783352.19	17309.1	128993.71	0	0	0	7530.87	0	24974.45	38747.34	1000907.66	3
DS7059	4590.23	56947.84	887672.34	0	0	0	0	0	50319.56	1175.59	1000705.56	2
DS7060	0	13569.03	239778.99	0	0	0	0	18810.35	496617.1	232157.43	1000932.9	2
DS7061	0	0	97391.18	0	0	0	51638.64	425387.78	10.95	43020.4	617448.95	NA
DS7133	135370.29	5629.57	0	0	0	0	0	0	0	3469.08	144468.94	3
DS7140	384981.07	0	0	0	803.21	0	0	0	2223.77	5035.44	393043.49	3
DS7141	165663.37	0	0	0	0	0	0	0	3325.14	16797.88	185786.39	3
DS7148	1602.42	0	0	0	0	0	0	0	0	4157.21	5759.63	6
DS7149	841471.53	0	0	0	0	0	0	0	7433.56	18317.13	867222.22	3
DS7150	981974.9	0	0	0	0	0	0	0	4802	13687.39	1000464.29	3
DS7151	937195.78	0	0	0	0	22324.02	0	0	0	40929.97	1000449.77	3
DS7152	951591.49	4327.73	0	0	0	2438.24	0	0	35189.36	7132.1	1000678.92	3
DS7153	969826.71	23486.68	0	0	0	0	0	0	7694.78	101.8	1001109.97	3
DS7154	958500.4	0	0	0	0	0	0	0	20215.06	21988.64	1000704.1	3
DS7155	962358.84	0	0	0	0	0	0	0	38336.34	0	1000695.18	3
DS7156	951528.04	0	0	0	0	0	0	0	36431.48	12721.06	1000680.58	3
DS7157	564147.81	26758.34	35928.05	0	0	25917.69	0	0	57110.66	291069.55	1000932.1	NA
DS7158	701142.17	15871.16	0	0	0	2113.21	33968.69	0	142748.7	105089.57	1000933.5	3
DS7159	12880.02	487170.7	264287.21	0	0	0	5263.19	0	121413.44	109705.97	1000720.53	2
DS7160	0	155677.34	123891.18	0	0	3454.98	0	0	32472.07	685240.4	1000735.97	NA
DS7161	0	0	240287.45	0	0	0	14839.67	304124.07	23496.57	406005.9	988753.66	2
DS7162	0	0	0	0	0	0	73050.08	107584.94	0	0	180635.02	NA
DS7232	25942.53	0	0	0	0	0	0	0	0	0	25942.53	3
DS7233	853214.24	0	0	0	0	0	0	0	0	30536.15	883750.39	3
DS7234	499389.34	0	0	0	0	0	0	0	0	20704.1	520093.44	3
DS7235	468876.81	0	0	0	0	0	0	0	3878.73	27325.51	500081.05	3
DS7236	556621.15	0	0	0	0	0	0	0	0	9195.91	565817.06	3
DS7237	662410.05	0	0	0	0	0	0	0	0	37609.52	700019.57	3
DS7238	553441.04	0	0	0	0	0	0	0	0	20300.6	573741.64	3
DS7239	630900.86	0	0	0	2156.38	0	8255.37	0	0	68074.86	709387.47	3
DS7240	766836.05	1128.55	0	0	1327.59	5713.05	24671.38	0	0	27608.15	827284.77	3
