"location_id","regio","hok","status","gereserveerd","jaar","laatste_bezoek","recall"
6231,"Afd Wal","ES8284","actief",0,"2019","2010-07-15",NULL
6068,"Afd Wal","ES8377","actief",1,"2019","2016-06-25","2021"
6230,"Afd Wal","ES8383","actief",0,"2019","2019-04-14",NULL
6229,"Afd Wal","ES8386","actief",0,"2019","2010-07-15",NULL
6067,"Afd Wal","ES8478","actief",1,"2019","2010-06-30","2021"
6066,"Afd Wal","ES8578","actief",1,"2019","2010-06-30","2021"
5870,"Afd Wal","ES8867","actief",0,"2019","2007-07-07",NULL
5869,"Afd Wal","ES8967","actief",0,"2020","2008-06-14",NULL
6061,"Afd Wal","ES9077","actief",1,"2019","2019-06-18",NULL
6060,"Afd Wal","ES9078","actief",1,"2021","2021-06-07",NULL
5868,"Afd Wal","ES9169","actief",0,"2020","2008-07-12",NULL
6055,"Afd Wal","ES9576","actief",0,"2020","2014-07-12",NULL
6052,"Afd Wal","ES9675","actief",0,"2020","2014-07-12",NULL
6323,"Antwerpen Noord","ES8791","actief",0,"2020","2017-07-11",NULL
6322,"Antwerpen Noord","ES8792","niet actief",1,NULL,"2018-07-07",NULL
6321,"Antwerpen Noord","ES8891","actief",0,"2020","2009-07-01",NULL
6219,"Antwerpen Noord","ES8988","actief",0,"2019","2013-07-11",NULL
6213,"Antwerpen Noord","ES9384","actief",1,"2019","2019-07-10",NULL
6212,"Antwerpen Noord","ES9386","actief",0,NULL,NULL,NULL
6320,"Antwerpen Noord","ES9390","actief",0,"2020","2017-06-19",NULL
6319,"Antwerpen Noord","ES9392","actief",0,"2021","2018-07-03",NULL
6058,"Antwerpen Noord","ES9470","actief",0,NULL,NULL,NULL
6211,"Antwerpen Noord","ES9480","niet actief",1,NULL,"2018-06-01",NULL
6210,"Antwerpen Noord","ES9580","actief",1,"2020","2017-07-09","2021"
6051,"Antwerpen Noord","ES9679","actief",1,"2021","2021-06-27",NULL
6050,"Antwerpen Noord","ES9777","actief",0,"2020","2011-07-06",NULL
6049,"Antwerpen Noord","ES9778","actief",0,NULL,NULL,NULL
6048,"Antwerpen Noord","ES9779","actief",1,"2020","2021-06-27","2021"
6209,"Antwerpen Noord","ES9781","actief",1,"2019","2019-07-14",NULL
6208,"Antwerpen Noord","ES9786","actief",0,"2019","2016-07-14",NULL
6318,"Antwerpen Noord","ES9790","actief",0,"2020","2014-06-07",NULL
6047,"Antwerpen Noord","ES9875","actief",1,"2021","2021-06-15",NULL
